ID	名称/ブランド	ジャンル	産地	素材/スペック	マニア度	雰囲気	解説・ストーリー
1	Phrae Natural Indigo (Mo Hom)	Textile(布/藍)	Phrae	天然発酵藍 / 手摘み綿	★3	#Vintage, #Indigo	「タイのデニム」の原点。化学染料を使わず、琉球藍に近い植物（ホーム）を発酵させて染める。使い込むほどに色が冴える「ジャパン・ブルー」ならぬ「プレー・ブルー」。
2	Sashiko Jacket (Lanna Style)	Textile(布/藍)	Chiang Mai	手刺し子 / ヘビーコットン	★4	#Rugged, #Boro	日本の「刺し子」技術が北タイの山岳民族に伝わり独自進化。厚手の藍染コットンに幾何学模様をびっしり手縫いしたジャケットは、1着作るのに数週間かかる。経年変化が最高。
3	Hemp Denim (Hmong)	Textile(布/藍)	Chiang Mai	大麻繊維(Hemp) / 14-16oz相当	★5	#Indigenous, #Heavy	モン族が織るヘンプ生地は、デニムの14ozに匹敵する厚みとゴワつきがある。夏は涼しく冬は暖かい。この生地で作ったパンツは一生モノの強度を誇る。
4	Black Indigo (Ebony Dye)	Textile(布/藍)	Phrae/CM	黒檀の実 / 泥染め	★4	#Modern, #Black	藍染めの上に「黒檀（マックルア）」の実や泥を重ねて染める「黒藍」。深みのあるチャコールグレー〜漆黒に仕上がり、革ジャンのような光沢が出る。
5	Karen Waistcoat (Vests)	Textile(布/藍)	Mae Hong Son	手織り綿 / ジョブズの涙(草の実)	★4	#Tribal, #Hippie	カレン族の男性が着る伝統的なベスト。赤や黒の厚手コットンに、硬い草の実（Job's Tears）で刺繍が施されている。Tシャツの上に羽織るだけで様になる。
6	Slowstitch Studio	Textile(布/藍)	Chiang Mai	天然染料 / 手縫い	★4	#Artisan, #Minimal	チェンマイの若手デザイナーによるブランド。古布や天然染料を使い、現代的なシルエットの服を作る。「野良着」をモードに昇華させたスタイルが欧米人に人気。
7	Yantra T-Shirt (Talisman)	Textile(布/藍)	Chiang Rai	シルクスクリーン / 護符柄	★3	#Street, #Occult	サクヤン（護符タトゥー）の図案をプリントしたTシャツ。ただのプリントではなく、僧侶が祈祷したインクを使う場合もある「着るお守り」。
8	Fisherman Pants (Heavy)	Textile(布/藍)	Lamphun	厚手コットン / フリーサイズ	★3	#Relax, #Standard	タイパンツの一種だが、お土産用のペラペラな生地ではなく、厚手の織物で作られた「本気」の漁師パンツ。紐で縛る独特の形状は、どんな体型でもフィットする。
9	Tin Jok (Nan Style)	Textile(布/藍)	Nan	浮織り / 金銀糸	★5	#Luxury, #Traditional	ナーン県の伝統織物。生地の裏から糸をすくい上げて模様を作る「浮織り」技法。特に裾（ティン）の模様は、蛇や流水を表しており、王族クラスの風格がある。
10	Indigo Sneaker (Custom)	Textile(布/藍)	Phrae	キャンバス / 藍染	★3	#Casual, #Street	コンバースなどのキャンバススニーカーを、プレー県の藍染職人が後染めしたもの。ゴム部分は白く残り、布部分だけが美しい藍色に染まる。
11	Kad Kokoa (Chiang Mai Origin)	Cacao(チョコ)	Chiang Mai	70% Dark / Single Origin	★4	#AwardWinning, #Nutty	タイのカカオを一躍有名にしたブランド。チェンマイ産カカオはナッツやキャラメルのような香ばしさが特徴。酸味が少なく、日本人好みの味。
12	Siamaya Chocolate	Cacao(チョコ)	Chiang Mai	Masala Chai / Coconut Curry	★4	#Pop, #Spice	「マサラチャイ」や「カオソーイ（カレー麺）」味など、北タイのスパイスをチョコレートに練り込んだクレイジーかつ美味なバー。パッケージもアート。
13	MarkRin Chocolate	Cacao(チョコ)	Chiang Mai	Cocoa Nibs / Powder	★5	#Industrial, #Pro	タイのカカオ研究の第一人者が作るブランド。派手さはないが、カカオニブやパウダーの品質は製菓業界のプロが指名買いするレベル。
14	Paradai (Nan Origin)	Cacao(チョコ)	Nan	Flower / Fruity	★4	#Elegant, #Acidic	ナーン県のカカオを使用したチョコ。ベリーや花のような華やかな酸味が特徴で、国際大会で数々の賞を受賞。ワインのお供に最適。
15	Sirinya Anaerobic Coffee	Coffee	Chiang Rai	Anaerobic Process	★5	#Geek, #Winey	チェンライの家族経営農園。酸素を遮断して発酵させる「アナエロビック」製法により、ラム酒やワインのような強烈な香りを持つ。コーヒーの概念が変わる一杯。
16	Moonstone (Lter Pan)	Coffee	Chiang Mai	Special Process	★4	#Famous, #Fruity	タイのスペシャルティコーヒー界のレジェンド「Mr.Lter」が作る豆。ライチやバラのような香りがする「ムーンストーン」は、発売されると即完売する幻の豆。
17	Miang (Fermented Tea)	Coffee	Phrae/Nan	発酵茶葉 / 食用	★5	#Deep, #Pickle	「飲むお茶」ではなく「食べるお茶」。蒸した茶葉を竹筒で発酵させたもの。酸味と渋みがあり、カフェインが強烈。森の男たちのエナジードリンク（ガム）。
18	Wild Tea (Ancient Tree)	Coffee	Chiang Rai	樹齢500年 / 野生	★4	#Wild, #Puer	森の中に自生する樹齢数百年の茶の木から手摘みしたお茶。中国のプーアル茶のような深い味わいと、森の香りがする。エネルギーが強い。
19	Cascara Syrup	Coffee	Chiang Rai	コーヒー果肉 / 砂糖	★3	#Sustainable, #Sweet	コーヒー豆を取り出した後の赤い果肉（カスカラ）を煮詰めたシロップ。アンズやハイビスカスのような甘酸っぱさがあり、ソーダ割りが美味。
20	Robusta (Fine Robusta)	Coffee	Phayao	Robusta / Washed	★4	#NewWave, #Strong	「ロブスタ種＝不味い」という常識を覆す、丁寧に精製された「ファイン・ロブスタ」。パヤオ県などで作られ、麦茶やカカオのような香ばしさと強いボディがある。
21	Karen Silver (Padua)	Silver	Mae Hong Son	純度99.9% / 槌目	★4	#Handmade, #Matte	カレン族の村で作られる純銀アクセサリー。機械を使わずハンマーで叩き出すため、表面の凹凸（槌目）が美しい。純度が高く柔らかいため、肌に吸い付くような着け心地。
22	Nova Collection	Silver	Chiang Mai	Contemporary / 925	★3	#Modern, #Art	チェンマイの有名工房。伝統技術を使いつつ、デザインは非常にコンテンポラリー（現代的）。建築家のような幾何学デザインのジュエリーが多い。
23	Fish Trap Lamp (Bamboo)	Craft	Phayao	竹 / 魚捕り罠	★3	#Interior, #WabiSabi	本来は魚を捕るための竹製の罠（サイ）を、ランプシェードとして転用したもの。編み目が美しく、光を灯すと部屋に複雑な影を落とす。和室にも合う。
24	Teak Wood Carving	Craft	Chiang Mai	チーク古材 / 手彫り	★4	#Vintage, #Heavy	タイ北部はチーク材の産地。古い家屋を解体した「古材」を使ったトレイやボウルは、油分を含んでいて重く、水に強い。経年変化で飴色になる。
25	Celadon (Crackle Glaze)	Craft	Chiang Mai	青磁 / 木灰釉	★3	#Classic, #Jade	「セラドン焼き」。草木の灰を釉薬に使い、翡翠（ヒスイ）のような緑色を出す。表面の細かい貫入（ひび割れ模様）が特徴で、使うほどに色が染み込み「育つ器」。
26	Grandma Jinn	Spirits(酒)	Chiang Mai	Botanical / 40%	★4	#Spicy, #Craft	チェンマイ発のクラフトジン。生姜やレモングラスなど、北タイのカレー（ゲーン）に使われるハーブを蒸留。飲むと体が熱くなるようなスパイシーさが特徴。
27	Issan Rum (North Edition)	Spirits(酒)	Nan/Phrae	Sugarcane / Agricole	★4	#Sweet, #FrenchStyle	イサーン（東北）発祥だが北タイのサトウキビも使用。サトウキビジュースを直接発酵させる「アグリコール製法」で作られ、草のような青々しさと甘みがある本格ラム。
28	Hma Jai Dam (Black Dog)	Spirits(酒)	Chiang Mai	Coconut Flower / 40%	★3	#Legend, #Sweet	「心の黒い犬」という名の蒸留酒。ココナッツの花蜜や米を原料にしており、安価なラオカオとは一線を画す、ラム酒のような甘い香りと飲みやすさがある。
29	Sura Tap (Tap 35)	Spirits(酒)	Phrae	Sticky Rice / 35%	★4	#Local, #Strong	「酒の都」プレー県の伝説的ラオカオ（米焼酎）。北タイの冠婚葬祭には欠かせない。喉が焼けるような強さの中に、もち米の甘みを感じるハードコアな酒。
30	Red Rice Sato	Spirits(酒)	Chiang Mai	Red Rice / 10%	★3	#Fruity, #Pink	赤米や黒米を使って醸造した「赤いサトー（どぶろく）」。見た目はロゼワインのようで、味はベリー系の酸味がある。女性にも飲みやすい古代の酒。
31	Ma Jai Dum (Umeshu)	Spirits(酒)	Chiang Rai	Japanese Apricot	★4	#Rich, #Sour	北タイの高地で栽培された「梅」を使った梅酒。日本の技術指導が入っており、濃厚で酸味がしっかりしている。ロックで飲むと最高。
32	11 Tigers (Ya Dong)	Spirits(酒)	Pharmacy	Herb Mix / Powder	★3	#Tough, #Energy	「11匹の虎」。ラオカオに漬け込むための薬草ミックス。飲むと力が湧くとされ、労働者の活力源。味は苦いが、ハーブの香りが癖になる。
33	Lanna Sword (Dahb)	Craft	Lampang	High Carbon Steel	★5	#Weapon, #History	ランパーン県で作られる「ランナー刀（ダープ）」。ただの土産物ではなく、車の板バネ等を鍛造した実用強度を持つ刃物。柄や鞘には美しい藤編みが施されている。※持ち出し注意
34	Baan Tawai Wood Carving	Craft	Chiang Mai	Monkey Pod / Teak	★3	#Art, #Decor	「木彫りの村」バーン・タワイ。安物もあるが、名人の作品は「透かし彫り」の技術が凄まじい。一枚の板から立体的な森や動物を彫り出す。
35	Saa Paper (Mulberry)	Craft	Chiang Rai	Mulberry Bark	★3	#Stationery, #Texture	「サー（梶の木）」の皮から作られる手漉き紙。日本の和紙より繊維が太く、ワイルドな質感。花びらや葉を漉き込んだものは、ランプやノートとして人気。
36	Sticky Rice Box (Kratip)	Craft	N/A(Isan/North)	Bamboo / Double Layer	★3	#Daily, #Smart	もち米を入れる竹籠。二重構造になっており、保温性が高く、余分な湿気を逃がしてご飯がベチャつかない。先人の知恵が詰まったハイテク弁当箱。
37	Lahu Bag (Yarm)	Textile(布/藍)	Chiang Rai	Cotton / Strap	★3	#Hippie, #Useful	ラフ族などの山岳民族が使うショルダーバッグ。非常にマチが広く、耐久性が高い。現代風にアレンジされたものは、PCやカメラを入れるのに丁度いい。
38	Elephant Dung Paper	Craft	Chiang Mai	Elephant Dung	★3	#Eco, #Funny	「象のフン」から作った紙。繊維質が豊富なため、洗って煮沸すると良質な紙になる。臭いは全くない。話のネタとして最強のお土産。
39	Makwaen (Zanthoxylum)	Spice	Nan/Phrae	Dried Spice	★4	#Numb, #Citrus	北タイ料理（ラープなど）に必須のスパイス。花椒（ホアジャオ）の親戚だが、よりシトラス（柑橘）系の香りが強く、上品な痺れがある。「北タイの胡椒」。
40	Dok Ngiw (Cotton Flower)	Spice	Chiang Rai	Dried Flower	★3	#Rare, #Texture	「キワタ（木綿）」の花の雄しべを乾燥させたもの。カノムチン・ナムニャオ（麺料理）の具として必須。噛むと独特の繊維感と旨味がある。
41	Bamboo Worm (Rot Duan)	Food	Mountain	Fried Worm	★4	#Snack, #Crispy	「竹の虫」。芋虫だが、揚げるとフライドポテトやカッパえびせんのような味になる。見た目を克服すれば、ビールのお供として最高のスナック。
42	Kaow Tan (Rice Cracker)	Food	Lampang	Sticky Rice / Melon	★3	#Sweet, #Crispy	もち米を揚げたお菓子。タレに「スイカジュース」を使うのが伝統レシピで、香ばしさと自然な甘みがある。お茶請けの定番。
43	Phu Lae Pineapple	Food	Chiang Rai	Mini Size / Crispy	★3	#Fruit, #Sweet	チェンライ原産の、拳サイズの小さなパイナップル。芯までサクサク食べられ、蜂蜜のような香りと強烈な甘みがある。
44	Northern Clay Pot	Craft	Chiang Rai	Terracotta	★3	#Rustic, #Cooking	チムチュム（鍋料理）や薬草を煮出すための素焼きの土鍋。釉薬を使わないため、火にかけると土の香りがする。直火OKだが割れやすい儚さがある。
45	Hill Tribe Silver Coin	Silver	Akha/Lisu	Old Coin / Silver	★5	#Vintage, #History	かつて山岳民族の間で通貨として使われていた銀貨（インドシナ・ピアストルや古いルピー）。これを溶かしたり、そのまま装飾品にしたものはアンティーク価値が高い。
46	Khao Soi Paste (Mae Noi)	Spice	Chiang Rai	Curry Paste	★3	#Cooking, #Spicy	カオソーイの名店も使う、チェンライ製のカレーペースト。これとココナッツミルクがあれば、日本の家でも本格的なカオソーイが再現できる。
47	Nam Pu (Crab Paste)	Spice	Nan/Phrae	Rice Field Crab	★5	#Black, #Umami	田んぼの蟹を潰して発酵させ、煮詰めた真っ黒なペースト。見た目は墨汁だが、蟹の旨味が凝縮されている。サラダ（ソムタム）や筍料理に入れる調味料。
