ハーブ名	タイ語	主な効能	代表的なタイ料理	活用法
ガパオ（ホーリーバジル / 聖なるバジル）	กะเพรา	健胃・消化促進・駆風作用（ガス排出）・抗酸化。タイ国家必須医薬品の消化薬主薬。	パッ・ガパオ（ガパオ炒め）、ゲーン・パー（森のカレー）	仕上げ直前に強火で肉類と一気に炒め合わせる。火を止める直前の瞬間強火で精油の香りを立たせる。
バイ・マックルー（コブミカンの葉）	ใบมะกรูด	血行促進・リフレッシュ・肉魚の消臭・消化器調整。中枢神経を刺激し頭痛倦怠感を緩和。	トムヤムクン、パネンカレー、トートマン・プラー（さつま揚げ）	中央の硬い葉脈を取り除き、手で揉み千切ってスープに煮出すか、極細の千切り（フォイ）にして散らす。
タクライ（レモングラス）	ตะไคร้	利尿作用・消化促進・解熱・抗菌（シトラール豊富）・リフレッシュ効果。	トムヤムクン、トムカーガイ、ラープ、ヤム・タクライ	根元の白い部分を包丁の背で叩き潰して煮出し香りを抽出。サラダには芯を極薄く輪切りにして生食。
カー（ナンキョウ / ガランガル）	ข่า	健胃・整腸・吐き気止め・抗菌・抗炎症（ピロリ菌抑制）。ウッディな芳香。	トムカーガイ（ココナッツスープ）、トムヤム、各種カレーペースト	2〜3mmにスライスしてスープ出汁を取り香りを移す（出汁ガラは残す）、または石臼でペーストに擂り潰す。
クラチャイ（フィンガールート / カチャイ）	กระชาย	滋養強壮（タイの高麗人参）・消化促進・口腔内殺菌・口臭予防。活力増進。	カノムジーン・ナムヤー（魚カレーそうめん）、パッチャー	指状の根の薄皮をこそげて極細千切りにし、魚介類と強火で炒めて生臭みを完全に消し清涼感を与える。
ホーラパー（タイスイートバジル）	โหระพา	駆風・整腸・鎮静・精神安定（アニス調の甘い香り）。リラクゼーション効果。	ゲーン・キョウ・ワーン（グリーンカレー）、ホーモック・プラー	カレーの火を止める直前に生の葉を投入し予熱で香りを移す。イサーン料理では生野菜として添えて食す。
カミン（ターメリック / 秋ウコン）	ขมิ้น	抗炎症・肝機能向上・胆汁分泌促進・胃粘膜保護。タイ薬局方Product Champion。	ガイ・トート・カミン（ウコン揚げ鶏）、クアクリン、ゲーン・ルアン	すりおろして黄金色の発色と臭み消し下味マリネに使う、または生のまま石臼でカレーペーストに練り込む。
プリック・キーヌー（小粒生唐辛子）	พริกขี้หนู	代謝促進・熱産生脂肪燃焼（高濃度カプサイシン）・食欲増進・血行促進。	トムヤム、ソムタム、ヤム全般、ナムプリック・ナムプラー	石臼（クロック）で軽く叩き潰してタレやスープに混ぜることで、細胞膜を破り鮮烈な辛味と香りを引き出す。
パクチー・ファラン（ノコギリコリアンダー）	ผักชีฝรั่ง	健胃・消化不良改善・駆風・口臭予防・解毒。熱に強く煮込みでも香りが飛ばない。	ラープ、ナムトック、トムセープ（イサーン酸辛もつスープ）	ギザギザの葉を幅1cmに刻み、仕上げや和える最終段階で加えて野性味のある強いハーブ香を付与する。
マカム（タマリンド / 羅望子）	มะขาม	緩下作用（便秘解消）・疲労回復（酒石酸・クエン酸）・ビタミンC補給・抗酸化。	パッタイ、ゲーン・ソム（酸味カレー）、トムソム・プラー	熟成果肉（マカム・ピアック）にぬるま湯を注ぎ指で揉み出して果汁を抽出し、深みとコクのある酸味付けに使う。
