ID	県名（日本語）	県名（英語）	県名（タイ語）	地方区分	ISO 3166-2	県標語（タイ語）	県標語（日本語訳）	県木（タイ語）	県花（タイ語・候補）	県章説明（英語資料）	県章説明（日本語要約）	象徴文化・産業	代表的地形	隣接県	県標語・県木出典URL	県花出典URL	県章出典URL	確認状態	精査メモ
1	チェンライ	Chiang Rai	เชียงราย	北部	TH-57	เหนือสุดยอดในสยาม ชายแดนสามแผ่นดิน ถิ่นวัฒนธรรมล้านนา ล้ำค่าพระธาตุดอยตุง		กะสะลองคำ	ดอกพวงแสด	A white elephant , the royal symbol, as a reminder of the fact that Chiang Rai was founded by King Mangrai because his elephant liked the place, according to the legend.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
2	ナーン	Nan	น่าน	北部	TH-55	แข่งเรือลือเลื่อง เมืองงาช้างดำ จิตรกรรมวัดภูมินทร์ แดนดินส้มสีทอง เรืองรองพระธาตุแช่แห้ง		กำลังเสือโคร่ง	ดอกเสี้ยวดอกขาว	A deity bull named Usubharaja (aka. Nandi , the Shiva 's Vahana ) carrying the stupa of Phrathat Chae Haeng.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
3	パヤオ	Phayao	พะเยา	北部	TH-56	กว๊านพะเยาแหล่งชีวิต ศักดิ์สิทธิ์พระเจ้าตนหลวง บวงสรวงพ่อขุนงำเมือง งามลือเลื่องดอยบุษราคัม		สารภี	ดอกสารภี	The Buddha's statue called Phra Chao Ton Luang from the temple Wat Si Khom Kham . Behind are 7 flames showing the glory of Buddha. In front of Buddha is a bowl and two ears of rice.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
4	チェンマイ	Chiang Mai	เชียงใหม่	北部	TH-50	ดอยสุเทพเป็นศรี ประเพณีเป็นสง่า บุปผาชาติล้วนงามตา นามล้ำค่านครพิงค์		ทองกวาว	ดอกทองกวาว	A white elephant in a glass pavilion to commemorate the offering of such an elephant by Thammalangka , a ruler of Chiang Mai, to his overlord, King Rama II of Bangkok. The pavilion symbolizes that Buddhism prospered in Chiang Mai, especially when in 1477 the teachings of Buddha, the Tripitaka , were reviewed.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
5	メーホンソン	Mae Hong Son	แม่ฮ่องสอน	北部	TH-58	หมอกสามฤดู กองมูเสียดฟ้า ป่าเขียวขจี ผู้คนดี ประเพณีงาม ลือนามถิ่นบัวตอง		กระพี้จั่น	ดอกบัวตอง	The provincial seal, Rup chang nai thong nam (รูปช้างในท้องน้ำ), shows an elephant in the water as a reference to the founding of the town by Lord Kaeo of Ma when he was sent to capture elephants for the Lord of Chiang Mai (1825–1846).					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
6	プレー	Phrae	แพร่	北部	TH-54	หม้อห้อม ไม้สัก ถิ่นรักพระลอ ช่อแฮศรีเมือง ลือเลื่องแพะเมืองผี คนแพร่นี้ใจงาม		ยมหิน	ดอกยมหิน	According to legend the two cities of Phrae and Nan were once ruled by brothers. When they met to divide the land between them the one from Phrae rode on a horse, the one from Nan on a buffalo to the meeting point on top of a mountain. Hence Phrae uses a horse in their seal, while Nan uses a buffalo. When the provincial government proposed the seal in 1940, the Fine Arts Department suggested adding a historic building to the seal in addition to the horse, thus it now has the stupa of Phra Tat Cho Hae on the back of the horse.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
7	ランパーン	Lampang	ลำปาง	北部	TH-52	ถ่านหินลือชา รถม้าลือลั่น เครื่องปั้นลือนาม งามพระธาตุลือไกล ฝึกช้างใช้ลือโลก		ขะจาว	ดอกธรรมรักษา	A white rooster at the gates of Wat Phra That Lampang Luang , illustrating a local legend about the Buddha's visit to the province.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
8	ラムプーン	Lamphun	ลำพูน	北部	TH-51	พระธาตุเด่น พระรอดขลัง ลำไยดัง กระเทียมดี ประเพณีงาม จามเทวีศรีหริภุญไชย		จามจุรี	ดอกทองกวาว	Wat Phra That Haripunchai temple, which was already the main temple of the city Lamphun during the Mon epoch.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
9	ウッタラディット	Uttaradit	อุตรดิตถ์	北部	TH-53	เหล็กน้ำพี้ลือเลื่อง เมืองลางสาดหวาน บ้านพระยาพิชัยดาบหัก ถิ่นสักใหญ่ของโลก		สัก	ดอกประดู่	The mondop at Wat Phra Thaen Sila At temple, in Baan Phra Thaen in the Laplae district. The main item of worship in the temple is a laterite block, which is believed to have been used by Buddha to seek enlightenment. The mondhop is built upon this block.					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
10	バンコク	Bangkok	กรุงเทพมหานคร	中部	TH-10	กรุงเทพฯ ดุจเทพสร้าง เมืองศูนย์กลางการปกครอง วัด วัง งามเรืองรอง เมืองหลวงของประเทศไทย		ไทรใบแหลม	設定なし／未設定	Hindu god Indra with a vajra in his hand on the mythological four-headed elephant Erawan (Airavata). The seal was based on a painting by Prince Narisara Nuvadtivong .					https://www.orst.go.th/iwfm_modal.asp?i=3%3B225%3B7OJG5813226226292222622&m=n	https://hilight.kapook.com/view/88170	https://en.wikipedia.org/wiki/Seals_of_the_provinces_of_Thailand	原文確認済み	県標語・県木は公的一覧、県花と県章は全国一覧の原文を収録。日本語訳・要約は公開前に個別精査する。
