菓子名	タイ語	主な材料	味・甘さの特徴	由来・エピソード
フォーイ・トーン（黄金の絹糸）	ฝอยทอง	アヒルの卵黄、砂糖シロップ、ジャスミン芳香水	甘さ5（極甘）。絹糸のように繊細でしっとり濃厚な卵黄のコク。	アユタヤ期にターオ・トーンキープマーがポルトガル菓子を翻案。長寿と夫婦の永遠の愛を象徴する婚礼吉祥菓子。
トーン・ヨート（金の雫）	ทองหยอด	アヒルの卵黄、米粉・タピオカ粉、砂糖シロップ	甘さ5（極甘）。シロップを含んだジューシーで濃厚な甘み。	黄金の雫が降り注ぐ形状から、富の蓄積・金運招福を祈願する王室吉祥菓子9種の一つ。
トーン・エーク（最高位の金）	ทองเอก	卵黄、小麦粉、ココナッツミルク、砂糖、純金箔	甘さ4。クリーミーで滑らかな口溶けとキャンドル燻香の香ばしさ。	「エーク＝第一・最高位」。金箔を冠し、昇進・叙勲・学業成就など頂点を極める祝い菓子。
メット・カヌン（ジャックフルーツの種）	เม็ดขนุน	脱皮緑豆あん、ココナッツミルク、アヒルの卵黄、砂糖	甘さ4。ほくほくした緑豆餡と卵黄シロップの上品な甘み。	「カヌン＝支援・後援」。人生や事業で強力な後ろ盾を得て順風満帆に進むことを祈る吉祥菓子。
カノム・チャン（九層のレイヤーケーキ）	ขนมชั้น	タピオカ粉、米粉、ココナッツミルク、砂糖、パンダンエキス	甘さ3。上品な甘みともっちり弾力ある食感、パンダンの芳香。	タイの最大吉数「9（カオナー＝前進）」にちなみ9層に蒸し上げ、地位が一段ずつ上昇することを祈る。
カノム・トゥアイ（ココナッツミルクの小皿蒸しプリン）	ขนมถ้วย	米粉、パームシュガー、パンダン汁、ココナッツクリーム、塩	甘さ3。下層の甘い黒糖餅と上層の温かい塩気あるココナッツの甘塩っぱさ。	小さな陶器皿で蒸す庶民のソウルフード。激辛ボートヌードルの辛味緩和にも愛用される。
カオニャオ・マムアン（マンゴー・スティッキーライス）	ข้าวเหนียวมะม่วง	高級もち米、完熟マンゴー、ココナッツミルク、砂糖、塩、揚げ緑豆	甘さ4。完熟マンゴーの甘酸っぱさとココナッツもち米の濃厚な甘塩っぱさ。	暑季（3〜5月）を代表する国民的デザート。タイ文化省がユネスコ無形文化遺産登録を推進。
ルーク・チュップ（ミニチュア果物細工あん）	ลูกชุบ	蒸し緑豆あん、ココナッツミルク、砂糖、食用色素、寒天液	甘さ3。表面の寒天のツルッとした歯触りと滑らかな緑豆餡の優しい甘み。	ポルトガルのマジパンを緑豆と寒天でアレンジした宮廷発祥の細密工芸菓子。
カノム・モーゲーン（タイ風焼きプリン・タロイモカスタード）	ขนมหม้อแกง	タロイモ、アヒルの卵、ココナッツミルク、パームシュガー、揚げ赤わけぎ	甘さ4。濃厚なタロイモカスタードの甘みと揚げわけぎの香ばしい塩気。	ペッチャブリー県名物。四角い深鍋で炭火焼きにするアユタヤ期発祥の伝統焼き菓子。
カノム・クロック（ココナッツたこ焼き風焼き菓子）	ขนมครก	米粉、ご飯、ココナッツミルク、砂糖、塩、刻み青ネギ・コーン	甘さ3。外側カリカリ、内側トロトロの熱々甘塩っぱいココナッツ風味。	専用の窪み鉄板で焼く伝統屋台おやつ。TasteAtlas世界ベストストリートデザート第1位獲得。
