ID	出来事・キーワード	時代区分	カテゴリ	タグ	関連年	重要度	日本人への示唆・面白さ	詳細説明	現代の関連スポット
TH-001	スコータイ王朝の成立	スコータイ	政治・外交	建国,独立	1238	★5	クメール帝国からの独立。日本でいう鎌倉幕府成立のような、武士（タイ族）の台頭による新国家誕生。	タイ族による最初の独立王朝。それまで支配下にあったクメール帝国（アンコール朝）から独立を果たし、現在のタイ国家の原点とされる。	スコータイ歴史公園
TH-002	ラームカムヘーン大王の治世	スコータイ	政治・外交	人物,王制	1279	★4	「水に魚あり、田に稲あり」と碑文に記された平和な時代。理想的な家父長制の君主像の原点。	スコータイ第3代国王。領土を最大に広げ、中国（元）とも国交を結んだ。タイにおける理想の君主「名君」の象徴とされる。	ラームカムヘーン大王記念碑（スコータイ）
TH-003	タイ文字の制定	スコータイ	文化・食	文字,文化	1283	★5	日本が漢字からひらがなを生み出したように、クメール文字をベースに独自のタイ文字を創製した。	ラームカムヘーン大王が制定したとされる。現在のタイ文字の直接のルーツであり、言語的独立の象徴となっている。	バンコク国立博物館（ラームカムヘーン碑文）
TH-004	上座部仏教の受容と定着	スコータイ	文化・食	仏教,スリランカ	1290	★5	日本が大乗仏教なのに対し、タイはスリランカ伝来の上座部仏教。個人の悟りと徳（タンブン）を重視する基盤ができた。	スリランカ（セイロン）から純粋な上座部仏教を導入。王自身も出家し、仏教を国家の精神的支柱として深く根付かせた。	ワット・マハタート（スコータイ）
TH-005	サンカローク焼（宋胡録）	スコータイ	政治・外交	交易,芸術	1300	★3	タイから日本（室町・安土桃山）へ輸出され、「宋胡録（すんころく）」として茶人に愛された歴史的接点。	スコータイ周辺で焼かれた陶磁器。中国の技術を取り入れ、東南アジア一帯や日本へも大量に輸出された重要な交易品。	サワンカローク窯跡（シーサッチャナーライ）
TH-006	ロイクラトン祭りの起源	スコータイ	文化・食	祭り,伝説	1300	★3	灯籠流しの風習。日本の精霊流しにも通じる、水への感謝と厄落としの美しい伝統行事。	スコータイ王朝の王妃ノッパマートが、バナナの葉で蓮の花をかたどった灯籠（クラトン）を作ったのが始まりとされる伝説。	スコータイ歴史公園（毎年11月開催）
TH-007	遊行仏（歩く仏陀）の美術	スコータイ	文化・食	芸術,仏教	1300	★4	静止した仏像が多い中、「歩く仏陀」はタイ美術の最高傑作。流線型の優美さは日本の仏像と全く異なる。	スコータイ期に確立した独自の仏像様式。衣が風になびき、歩みを進めるような優美で柔らかな曲線美が特徴。	ワット・ベンチャマボピット（バンコク）
TH-008	プラ・ルアン伝説	スコータイ	文化・食	伝説,神話	1300	★2	王の言葉が現実になる「言霊」のような伝説。タイ人の超自然的な力への畏敬の念が垣間見える。	スコータイの建国者とされる伝説の英雄。言葉にしたことが現実になる魔法の力を持ち、クメール軍を退けたと語り継がれる。	スコータイ各地の伝承
TH-009	スコータイ王朝の衰退と併合	スコータイ	政治・外交	衰退,アユタヤ	1438	★4	新興勢力アユタヤへの吸収。京都（室町幕府）と関東の勢力争いのように、南部の新興都市に飲み込まれた。	後継者争いなどで弱体化したスコータイは、南部に興ったアユタヤ王朝の属国となり、最終的に吸収合併された。	ピッサヌローク（スコータイ後期の拠点）
TH-010	クメール様式とスリランカ様式の融合	スコータイ	文化・食	建築,仏教	1350	★3	アンコールワットのようなトウモロコシ型の塔と、釣鐘型の塔が混在。文化のるつぼとしてのタイの象徴。	スコータイの寺院建築は、初期のクメール様式（プラーン）から、スリランカ様式の丸いチェディ（仏塔）へと変化・融合していった。	ワット・シーチュム
TH-011	ヒランナコーン・ンンヤン国の存在	ラーンナー	政治・外交	ラーンナー,建国	850	★3	タイ北部史のプロローグ。バンコクの歴史が始まる遥か前、チェンセーン周辺でメコン川流域の交易を握っていた。	ラーンナー王国の前身となる初期の都市国家。現在のチェンセーン付近に位置し、タイ族の南下と定着の初期段階を示す。	チェンセーン古代都市遺跡
TH-012	チェンライの建国（メンラーイ王）	ラーンナー	政治・外交	建国,人物	1262	★5	バンコク中心の歴史では語られない「もう一つのタイ」の原点。メンラーイ王が最初の拠点とした重要な都市。	ラーンナー王国の始祖であるメンラーイ王が、ピン川流域に進出する前に建設した都市。北部タイの独自の歴史はここから本格的に幕を開けた。	メンラーイ王像（チェンライ市内）
TH-013	チェンマイの建国とラーンナー王国	ラーンナー	政治・外交	建国,都市	1296	★5	「新しい街」を意味するチェンマイ。風水を取り入れた四角い城壁都市は、日本の平安京（碁盤の目）の思想に近い。	メンラーイ王がスコータイの王らと協調し、ピン川のほとりに新都チェンマイを建設。「百万の田」を意味するラーンナー王国の首都となる。	旧市街ターペー門（チェンマイ）
