ID	タイトル	ディスクリプション	データスキーマ例
1	チェンライ市内の主要寺院（ワット・プラケオ、青・白の寺等）拝観ガイド	ワット・プラケオ、ワット・ロンクン（白）、ワット・スアテン（青）等の由緒、開館時間、服装マナーの一覧。	[{"寺院名": "string", "タイ語": "string", "特徴・見どころ": "string", "拝観時間": "string", "入場料": "string", "マナー・注意点": "string"}]
2	チェンライ・ナイトバザール＆土曜・日曜ウォーキングストリート攻略マップ	ナイトバザールやサンデーマーケット等の開催場所、出店ジャンル、チェンライ特有の屋台・お土産ガイド。	[{"市場名": "string", "開催曜日・時間": "string", "場所・アクセス": "string", "主な出店品目": "string", "おすすめ名物": "string"}]
3	チェンライ発・メーサイ＆ゴールデン・トライアングル国境日帰りルート	ミャンマー国境メーサイやゴールデン・トライアングルへの行き方、見どころ、イミグレ注意点のまとめ。	[{"スポット名": "string", "チェンライ市街からの距離": "string", "アクセス方法": "string", "見どころ": "string", "注意点": "string"}]
4	ドイチャン＆ドイメーサロン「チェンライ最高峰コーヒー＆高山茶」ガイド	チェンライが誇るドイチャンコーヒーとドイメーサロンの烏龍茶の品種、名産地、銘柄・名店リスト。	[{"銘柄・産地名": "string", "種別(コーヒー/茶)": "string", "味の特徴": "string", "おすすめ農園・店舗": "string", "価格帯": "string"}]
5	チェンライ県内の天然温泉（ポンプラバート・フワイサック等）利用ガイド	チェンライ近郊にある温泉施設（足湯、個室風呂、露天風呂）の場所、効能、設備、料金の一覧。	[{"温泉名": "string", "所在地": "string", "風呂の種類": "string", "泉質・効能": "string", "料金": "string", "設備・備考": "string"}]
6	チェンライ市内の医療機関・日本語対応・緊急受診ガイド	バンコク病院チェンライやオーバーブルック病院等の施設情報、受診手順、緊急連絡先の一覧。	[{"病院名": "string", "タイ語名": "string", "日本語対応有無": "string", "電話番号": "string", "診療科・特徴": "string", "救急受診手順": "string"}]
7	ドイメーサロン（美斯樂）の歴史と山岳民族（アカ・リス・ヤオ等）文化早見表	元義勇軍の歴史を持つドイメーサロンと、チェンライに暮らす山岳民族の衣装・文化・伝統行事の解説。	[{"民族・地域名": "string", "歴史的背景": "string", "伝統衣装の特徴": "string", "独自の文化・行事": "string", "マナー・留意点": "string"}]
8	チェンライ発・ローカルバス＆ソンテウ路線・停留所・運賃相場表	バスターミナル1・2からの各方面（メーサイ、チェンコン、ドイメーサロン等）への行き方と運賃表。	[{"目的地": "string", "乗り物種別": "string", "発車場所": "string", "運行頻度/時間": "string", "片道運賃(THB)": "string"}]
9	チェンライ時計塔（ライトアップショー）＆中心部ビュースポットガイド	マンライ王記念碑、時計塔の光と音のショーの時間、市内の歴史的シンボルと写真撮影スポット。	[{"スポット名": "string", "場所": "string", "ショー/見頃の時間": "string", "歴史的背景": "string", "おすすめ撮影ポイント": "string"}]
10	チェンライのローカル市場（シリームアン・中央市場）買い物食材ガイド	チェンライ市民の台所「シリームアン市場」等の特徴、旬の地場野菜、鮮魚・肉類の買い方ガイド。	[{"市場名": "string", "営業時間": "string", "主な取扱食材": "string", "地場野菜・名物": "string", "買い物のコツ": "string"}]
11	チェンライ市内の静かで過ごしやすいカフェ＆読書スポット一覧	コワーキングや読書、ゆったりした時間を過ごせるコック川沿い等の静かなカフェリスト。	[{"店舗名": "string", "エリア": "string", "WiFi/電源": "boolean/string", "雰囲気・特徴": "string", "おすすめメニュー": "string"}]
12	チェンライ周辺の自然・滝・ハイキングスポット（クンコーンの滝等）ガイド	クンコーンの滝、シンハーパークなどチェンライの大自然を楽しめるハイキングコースと注意点。	[{"スポット名": "string", "市街からの距離": "string", "所要時間・難易度": "string", "見どころ": "string", "準備・注意点": "string"}]
13	チェンライ日本人会・生活立ち上げ＆困りごと相談窓口ハンドブック	在住日本人が直面しやすい手続きやトラブル、日本人会への連絡・相談方法の一覧。	[{"相談ジャンル": "string", "概要": "string", "連絡先・対応窓口": "string", "推奨される解決手順": "string"}]
14	チェンライの気候・乾期・雨期・PM2.5（ヘイズ）対策年間カレンダー	チェンライの四季の移り変わり、涼期の快適さ、春先（2〜4月）のPM2.5対策と空気質の見方。	[{"月": "number", "平均気温/湿度": "string", "気候区分": "string", "PM2.5傾向": "string", "推奨される過ごし方・対策": "string"}]
15	チェンライ名物料理（カオソーイ・チェンライ式、ナムプリック）名店リスト	チェンライ独特の澄んだスープのカオソーイや、ナムプリック・オーンが美味しい地元名店一覧。	[{"店舗名": "string", "名物料理名": "string", "味の特徴": "string", "場所・営業時間": "string", "目安予算": "string"}]
16	チェンライのスーパー（Big C, Tops, Makro）日本食・食材調達ガイド	日本食材、調味料、輸入食品が手に入るチェンライ市内のスーパーマーケットと品揃え特徴。	[{"店舗名・店舗": "string", "場所": "string", "取扱日本食材": "string", "品揃えの特徴": "string", "ポイントカード・特典": "string"}]
17	チェンライ創世の歴史「キング・マンライ像と古都ヒランナコーン」解説	ランナー王朝の祖マンライ王によるチェンライ建国の歴史と、ゆかりの史跡を巡る歴史シート。	[{"史跡・記念碑名": "string", "建成年": "string", "マンライ王との関わり": "string", "見どころ": "string"}]
18	メーファールアン庭園＆ドイトゥン・ロイヤルヴィラ見どころガイド	シーナカリン皇太后ゆかりのドイトゥン宮殿、四季折々の花が咲く庭園の散策ルート。	[{"施設エリア": "string", "見どころ・花々": "string", "見頃の時期": "string", "チケット料金": "string", "見学のコツ": "string"}]
19	チェンライ市内のゴルフ場・スポーツ施設・リフレッシュスポット一覧	ウォーターフォードやサンティブリー等のゴルフ場、テニスコート、プール施設の情報。	[{"施設名": "string", "種別": "string", "ホール数/設備": "string", "プレー料金目安": "string", "予約・利用方法": "string"}]
20	チェンライ生活で役立つ「北タイ語（カムムアン）チェンライ方言」日常フレーズ	標準タイ語と少し異なる北タイ方言の挨拶、買い物、感謝の言葉（「インディー・チャード・ナー」等）。	[{"日本語": "string", "標準タイ語": "string", "チェンライ北タイ語": "string", "発音(カタカナ)": "string", "使う場面": "string"}]
21	北部タイ（ランナー）伝統料理100選・味の特徴＆名前の意味解説	カオソーイ、ゲーンハンレー、サイウアなど北タイ料理のスパイス使いと料理名の意味ガイド。	[{"料理名": "string", "タイ語": "string", "単語の意味": "string", "味の特徴(辛さ/ハーブ)": "string", "代表的な具材": "string"}]
22	北部タイの伝統行事・祭り（イーペン、水掛け祭り、 Poy Sang Long）年間カレンダー	コムローイを上げるイーペン祭りや、メーホンソーンの出家式（ポイ・サーンロン）等の開催時期。	[{"祭り・行事名": "string", "開催地域": "string", "開催時期(旧暦/月)": "string", "行事の内容・意味": "string", "見学マナー": "string"}]
23	北タイ方言（カムムアン）基本表現＆標準タイ語対比一覧表	「เจ้า（ジャオ）」や「งาม（ガーム）」など、北タイ全域で耳にする日常単語と標準語の比較。	[{"日本語": "string", "標準タイ語": "string", "北タイ語": "string", "発音": "string", "ニュアンス解説": "string"}]
24	ランナー王朝の歴史と主要古都（チェンライ・チェンマイ・ナーン等）沿革表	13世紀から続くランナー王朝の成立、発展、ビルマ支配期、タイへの統合までの歴史年表。	[{"年代": "string", "出来事": "string", "関連する都市": "string", "歴史的意義": "string"}]
25	北タイ特有の木造寺院建築・ランナー様式仏像の見分け方ガイド	屋根の傾斜、ランナー様式仏像の丸顔と螺髪の特徴など、中央タイの寺院との違いの解説。	[{"建築・仏像の要素": "string", "ランナー様式の特徴": "string", "中央タイ様式との違い": "string", "代表例寺院": "string"}]
26	北タイの伝統布（テキスタイル）・山岳民族の刺繍・織物パターン図鑑	パーサシン（巻きスカート）の織り柄、民族ごとの刺繍模様の意味と見分け方。	[{"布・織物の種類": "string", "生産地域/民族": "string", "柄・模様の意味": "string", "特徴・見分け方": "string"}]
27	北タイ伝統ハーブ（サムンプライ）とカントーク料理の健康効果	カントークに使われるハーブや生野菜、消化を助けるスパイスの薬膳的効果。	[{"ハーブ/野菜名": "string", "タイ語": "string", "主な栄養・効能": "string", "カントークでの使われ方": "string"}]
28	チェンマイ・パヤオ・ナーン・メーホンソーンへの北タイ周遊長距離バス早見表	チェンライから北タイ各県（チェンマイ、パヤオ、ナーン、プレー）へのバス・グリーンバス運行表。	[{"行先": "string", "運行会社": "string", "所要時間": "string", "1日の便数": "string", "運賃目安": "string"}]
29	北タイ名物「カントーク夕食会」の伝統舞踊・マナー・メニュー解説	小机（カントーク）を囲む伝統的な食事様式、出される料理の意味と踊りの鑑賞マナー。	[{"料理/演目名": "string", "区分(食事/舞踊)": "string", "解説・意味": "string", "食事の作法": "string"}]
30	ドイ・インタノン＆北タイの国立公園・自然ハイキングガイド	タイ最高峰ドイ・インタノン（チェンマイ）をはじめとする北タイの標高高い自然公園ガイド。	[{"国立公園名": "string", "県名": "string", "標高": "string", "見どころ・トレイル": "string", "ベストシーズン": "string"}]
31	北タイの伝統工芸「セラドン焼＆漆器・傘（ボープサン）」ガイド	緑透明な釉薬が美しいセラドン焼きや、手工芸品の名産地・歴史・買い物のコツ。	[{"工芸品名": "string", "主な産地": "string", "製法・特徴": "string", "手入れ・取り扱い方法": "string"}]
32	北タイ特有のお守り（プラクルアン）と名僧・寺院の由緒解説	北タイの名僧（クルーバー・シーヴィチャイ等）ゆかりのお守りの歴史と文化。	[{"名僧/お守り名": "string", "ゆかりの寺院・県": "string", "由緒・伝承": "string", "文化的な意味": "string"}]
33	北タイの農業・旬の果物（ライチ、ロンガン、イチゴ）収穫カレンダー	ファーンやチェンライで採れるライチ、ロンガン、いちごの収穫時期と直売所ガイド。	[{"果物・農産物": "string", "収穫ピーク(月)": "string", "主な生産エリア": "string", "選び方・味わい": "string"}]
34	北タイ山岳地帯のコミュニティベースド・ツーリズム（CBT）体験スポット	村落の自然や暮らしを体験できる村起こし観光（CBT）の取り組みと訪問手順。	[{"村名/エリア": "string", "県名": "string", "体験できる活動": "string", "予約・訪問方法": "string"}]
35	ランナーの伝統音楽・楽器（スン、サロー）と踊り（フォンタイ）解説	弦楽器「スン」や「サロー」、しなやかな指先の動きが美しいランナー舞踊の基礎知識。	[{"楽器/舞踊名": "string", "種別": "string", "音色・動作の特徴": "string", "使われる場面": "string"}]
36	タイの生まれ曜日別「守護仏・ラッキーカラー・ご利益」早見表	自分の生まれ曜日から守護仏のポーズ、ラッキーカラー、期待されるご利益がわかる表。	[{"曜日": "string", "タイ語": "string", "守護仏名": "string", "ポーズの特徴": "string", "ラッキーカラー": "string", "ご利益": "string"}]
37	タイの「お酒が買えない日（禁酒日）＆年間祝日」カレンダー	仏教の重要行事日（万仏節、仏誕節等）や王室祝日、アルコール販売禁止時間ルール。	[{"日付": "string", "祝日・行事名": "string", "禁酒区分": "boolean/string", "解説・注意点": "string"}]
38	タイの長期滞在（リタイアメントビザ・90日レポート）手続早見表	リタイアメントビザ（O/O-A）更新や90日レポート（TM47）、TM30の手続き要件チェック。	[{"手続き名": "string", "提出期限": "string", "必要書類": "string", "申請場所/オンライン": "string", "注意点": "string"}]
39	タイ宝くじ「過去20年・下2桁当選頻度」ランキング＆数字文化解説	政府宝くじ（ロットラリー）の仕組み、過去データによる出現頻度、タイ人の夢診断文化。	[{"数字(下2桁)": "string", "当選回数": "number", "出現確率": "string", "タイ文化での意味": "string"}]
40	タイの「数字にまつわる吉凶文化（9と8の秘密）」解説シート	「9（前進・カオナ）」が好まれ「6」が避けられる理由など、車ナンバーや電話番号の吉凶。	[{"数字": "number", "吉凶": "string", "読み・語呂合わせ": "string", "文化的な意味・背景": "string"}]
41	タイ全土・最高格付け「1級王室寺院」全23寺一覧マップ＆解説	タイ国内に23寺しか存在しない最高格式の王室寺院の名称、所在地、由緒のリスト。	[{"寺院名": "string", "所在地(県)": "string", "タイ語名": "string", "建立年代": "string", "見どころ・特徴": "string"}]
42	辛さレベル別「タイ料理100選」単語分解＆カスタマイズ注文ガイド	「マイペッ（辛くしないで）」「マイサイパクチー」など、好みの味に調整する注文方法。	[{"料理名": "string", "タイ語": "string", "単語分解の意味": "string", "辛さレベル": "1-5", "調整フレーズ": "string"}]
43	タイの「伝統ハーブ・スパイス20選」効能・料理別の使われ方	ガパオ、バイマックルー、クラチャイなどの薬効と、どのタイ料理に使われているかの解説。	[{"ハーブ名": "string", "タイ語": "string", "主な効能": "string", "代表的なタイ料理": "string", "活用法": "string"}]
44	屋台・市場でそのまま指せる「タイ語の注文フレーズ＆単語50選」	「持ち帰りで」「お会計」「これください」など、大きな文字で指して使える会話シート。	[{"日本語": "string", "タイ語表記": "string", "発音(カタカナ)": "string", "使用場面": "string"}]
45	タイの「伝統スイーツ・タイ菓子30選」甘さレベル＆由来図鑑	トーンヨート（金卵のしずく）やフォントーンなど、アユタヤ時代から続くタイ菓子の歴史。	[{"菓子名": "string", "タイ語": "string", "主な材料": "string", "味・甘さの特徴": "string", "由来・エピソード": "string"}]
46	タイの「ジェー（菜食主義）週間」ルールと黄色いイエローフラッグ解説	秋に行われるキンジェー（菜食期間）のルール、食べて良いもの・NG食材、イエローマークの意味。	[{"項目": "string", "ルール・内容": "string", "OK食材": "string", "NG食材": "string", "代表的な菜食料理": "string"}]
47	タイ語の「親族の呼び方（父方・母方の祖父母の区別）」親族呼称表	父方の祖父（プー）と母方の祖父（ター）など、親族を細かく区別するタイ語の呼称一覧。	[{"間柄(日本語)": "string", "タイ語表記": "string", "カタカナ発音": "string", "補足・ニュアンス": "string"}]
48	タイの「幸運を呼ぶ伝統猫（シャム・カオマニー等）」種類・伝承図鑑	古文書『タムラー・メーオ』に記載された、タイ原産の珍しい猫の種類と縁起の良い伝承。	[{"猫種名": "string", "タイ語名": "string", "毛色・目の特徴": "string", "古文書の伝承・幸運の意味": "string"}]
49	タイ古式マッサージの「セルフツボ押し（セン）」部位別健康シート	伝統医学のエネルギーライン「セン」に基づいた、自分でできるツボ押しとストレッチ。	[{"ツボ・センの名称": "string", "対応部位": "string", "期待される効果": "string", "押す・伸ばす手順": "string"}]
50	タイ生活の「緊急時連絡先（警察・ツーリストポリス・大使館等）」ハンドブック	1155（ツーリストポリス）や在タイ日本大使館、領事館、救急車の連絡先一覧。	[{"機関・窓口名": "string", "電話番号": "string", "対応言語": "string", "連絡すべき状況・場面": "string"}]
