ID	銘柄名	タイ文字表記	タイ文字表記区分	名称の要点	ジャンル	酒類大分類	産地	主原料	度数(ABV・目安)	味わい	おすすめの飲み方	レア度	製造者・ブランド	確認状態	タイ語検索判定	推奨対応	精査メモ	出典URL	Google画像検索URL	公開用解説	旧解説・ストーリー（未精査）
1	Maa Jai Dum Flowery (หมาใจดำดอกไม้)	หมาใจดำดอกไม้	タイ語資料で確認	チェンマイに関連する、ココナッツ花蜜/米を主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	チェンマイ	ココナッツ花蜜/米	40%	甘口(Sweet)	ロック、ソーダ割り、カクテル	コンビニ/スーパー		確認済み	北タイ商品として確認	掲載候補	เชียงใหม่の実在ブランド。正式な商品呼称は「หมาใจดำดอกไม้」。	https://gooloochiangmai.com/?p=26841	https://www.google.com/search?tbm=isch&q=%E0%B8%AB%E0%B8%A1%E0%B8%B2%E0%B9%83%E0%B8%88%E0%B8%94%E0%B8%B3%E0%B8%94%E0%B8%AD%E0%B8%81%E0%B9%84%E0%B8%A1%E0%B9%89	เชียงใหม่の実在ブランド。正式な商品呼称は「หมาใจดำดอกไม้」。	北タイ土産の定番。「心の黒い犬」というユニークな名前の蒸留酒。ココナッツや花の蜜を原料にしており、ラム酒のような甘い香りと飲みやすさがある。ロックがおすすめ。
2	Maa Jai Dum Lumka (หมาใจดำลำก้า)	หมาใจดำลำก้า	タイ語資料で確認	チェンマイに関連する、米/ジャガイモを主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	チェンマイ	米/ジャガイモ	40%	辛口(Dry)	少量のストレート、ロック、水割り	スーパー		確認済み	北タイ商品として確認	掲載候補	เชียงใหม่の実在ブランド。透明タイプは「หมาใจดำลำก้า」。	https://gooloochiangmai.com/?p=26841	https://www.google.com/search?tbm=isch&q=%E0%B8%AB%E0%B8%A1%E0%B8%B2%E0%B9%83%E0%B8%88%E0%B8%94%E0%B8%B3%E0%B8%A5%E0%B8%B3%E0%B8%81%E0%B9%89%E0%B8%B2	เชียงใหม่の実在ブランド。透明タイプは「หมาใจดำลำก้า」。	「黒犬」の透明バージョン。こちらはジャガイモや米をベースにしたウォッカに近い味わい。カクテルベースとして優秀で、悪酔いしにくいと評判。
3	Yod Khao Suratip (ยอดข้าวสุราทิพย์)	ยอดข้าวสุราทิพย์	暫定音写・要確認	プレー(Phrae)に関連する、もち米/糖蜜を主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	プレー(Phrae)	もち米/糖蜜	35%	強烈	少量のストレート、ロック、水割り	コンビニ(北タイ限定)		実在・表記とも要追加調査	名称候補のみ確認	追加調査後に判断	タイの登録銘柄一覧に「ยอดข้าวสุราทิพย์」はあるが、Tap 35・プレー産という説明は未確認。	https://www.nso.go.th/nsoweb/storage/contents_detail/2026/20260326084006_46650.pdf	https://www.google.com/search?tbm=isch&q=%E0%B8%A2%E0%B8%AD%E0%B8%94%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2%E0%B8%97%E0%B8%B4%E0%B8%9E%E0%B8%A2%E0%B9%8C		「酒の都」プレー県を象徴する伝説の銘柄。安価だが、他のラオカオに比べて喉越しがスムーズ。北タイの冠婚葬祭や宴会には欠かせない「ソウルリカー」。
4	K5 (Premium Spirit)	เคไฟว์ พรีเมียมสปิริต	暫定音写・要確認	プレー(Phrae)に関連する、米を主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	プレー(Phrae)	米	35-40%	フルーティー	ロック、ソーダ割り、カクテル	リカーショップ		未確認	裏付けなし・差し替え推奨	差し替え推奨	「เคไฟว์ พรีเมียมสปิริต」とプレー産酒の組み合わせをタイ語検索で確認できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%84%E0%B9%84%E0%B8%9F%E0%B8%A7%E0%B9%8C%20%E0%B8%9E%E0%B8%A3%E0%B8%B5%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B8%A2%E0%B8%A1%E0%B8%AA%E0%B8%9B%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%95		プレー県の酒造技術を結集して作られたプレミアム・ラオカオ。従来の「安酒」のイメージを覆す、吟醸酒のようなフルーティーな香りが特徴。パッケージも高級感がある。
5	Grandma Jinn (グランマ・ジン)	แกรนด์มา จินน์ เรซิพี นัมเบอร์ 1	公式表記確認	チェンマイに関連する、ジュニパー/北タイハーブを主原料として収録されたCraft Gin。	Craft Gin	蒸留酒	チェンマイ	ジュニパー/北タイハーブ	40%	スパイシー	ロック、ソーダ割り、カクテル	バー/専門店	Lamai Distilleries / Bootleggers Trading	確認済み	タイ商品・北タイ産は未確認	追加調査後に判断	Grandma Jinnは実在するが、北タイまたはチェンマイ産という裏付けは確認できない。	https://www.bootleggerstrading.com/product/gin/grandma-jinn	https://www.google.com/search?tbm=isch&q=%E0%B9%81%E0%B8%81%E0%B8%A3%E0%B8%99%E0%B8%94%E0%B9%8C%E0%B8%A1%E0%B8%B2%20%E0%B8%88%E0%B8%B4%E0%B8%99%E0%B8%99%E0%B9%8C%20%E0%B9%80%E0%B8%A3%E0%B8%8B%E0%B8%B4%E0%B8%9E%E0%B8%B5%20%E0%B8%99%E0%B8%B1%E0%B8%A1%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%201		チェンマイの有名バー発のクラフトジン。地元の市場で手に入る生姜やレモングラスなど、北タイならではのボタニカルを贅沢に使用。複雑でスパイシーな香りが爆発する。
6	Gemini (ジェミニ)	เจมินี	暫定音写・要確認	チェンマイに関連する、ジュニパー/茶葉を主原料として収録されたCraft Gin。	Craft Gin	蒸留酒	チェンマイ	ジュニパー/茶葉	40%	フローラル	ロック、ソーダ割り、カクテル	バー/専門店		未確認	裏付けなし・差し替え推奨	差し替え推奨	チェンマイ産Gemini Ginをタイ語検索で確認できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%88%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%B5		チェンマイ産のお茶や花を使用したクラフトジン。香水のように華やかで繊細な味わい。トニックウォーターで割ると香りがさらに広がる。ボトルデザインも美しい。
7	Kristall Thai Spirit (クリスタル・タイ・スピリット)	คริสตัล ไทย สปิริต	暫定音写・要確認	チェンマイに関連する、サトウキビを主原料として収録されたRum。	Rum	蒸留酒	チェンマイ	サトウキビ	40%	甘口(Sweet)	ロック、ソーダ割り、カクテル	スーパー/専門店		実在・表記とも要追加調査	商品名・酒種に不一致あり	追加調査後に判断	Kristall Thai Spirit/Ginの流通例はあるが、チェンマイ産ラムという説明は未確認。	https://www.gajkitchenchiangmai.com/menu	https://www.google.com/search?tbm=isch&q=%E0%B8%84%E0%B8%A3%E0%B8%B4%E0%B8%AA%E0%B8%95%E0%B8%B1%E0%B8%A5%20%E0%B9%84%E0%B8%97%E0%B8%A2%20%E0%B8%AA%E0%B8%9B%E0%B8%B4%E0%B8%A3%E0%B8%B4%E0%B8%95		チェンマイのサンパトーン郡にある蒸留所で作られるラム。北タイ産の良質なサトウキビを使用し、フランスのアグリコール製法に近い形で作られるため、原料の甘みが強い。
8	Lao Wiang (ラオ・ウィアン)	เหล้าเวียง	一般的なタイ語名称	チェンライ(ウィアンパパオ)に関連する、もち米を主原料として収録されたLao Khao(焼酎)。	Lao Khao(焼酎)	蒸留酒	チェンライ(ウィアンパパオ)	もち米	40%	辛口(Dry)	少量のストレート、ロック、水割り	村の売店		未確認	裏付けなし・差し替え推奨	差し替え推奨	「เหล้าเวียง」をウィアンパパオの固有銘柄として確認できない。		https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%A7%E0%B8%B5%E0%B8%A2%E0%B8%87		ウィアンパパオ郡で作られる地酒。伝統的な壺仕込みの技術が残っており、地元民に愛されている。かなり度数が強いが、米の旨味がしっかりある。
9	Origin Gin (オリジン)	ออริจิน จิน	暫定音写・要確認	チェンマイに関連する、ボタニカルを主原料として収録されたCraft Gin。	Craft Gin	蒸留酒	チェンマイ	ボタニカル	40%	スッキリ	ロック、ソーダ割り、カクテル	バー/通販		未確認	裏付けなし・差し替え推奨	差し替え推奨	チェンマイ産Origin Ginをタイ語検索で確認できない。		https://www.google.com/search?tbm=isch&q=%E0%B8%AD%E0%B8%AD%E0%B8%A3%E0%B8%B4%E0%B8%88%E0%B8%B4%E0%B8%99%20%E0%B8%88%E0%B8%B4%E0%B8%99		チェンマイの若手蒸留家による少量生産ジン。シトラス系のボタニカルを多用しており、ソーダ割りで飲むとタイの暑さを吹き飛ばすほど爽快。
10	Doi Kham Strawberry Wine	ไวน์สตรอว์เบอร์รีดอยคำ	暫定音写・要確認	チェンマイ(芳)に関連する、イチゴを主原料として収録されたFruit Wine。	Fruit Wine	醸造酒	チェンマイ(芳)	イチゴ	10-12%	甘口(Sweet)	よく冷やして少量ずつ	スーパー		未確認	裏付けなし・差し替え推奨	差し替え推奨	ดอยคำのイチゴ事業は確認できるが、同社のイチゴワイン商品は確認できない。	https://www.thaipost.net/main/detail/86091	https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%A7%E0%B8%99%E0%B9%8C%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B8%AD%E0%B8%A7%E0%B9%8C%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A3%E0%B8%B5%E0%B8%94%E0%B8%AD%E0%B8%A2%E0%B8%84%E0%B8%B3		王室プロジェクト「ドイカム」のロングセラー。チェンマイのファン（Fang）郡で採れたイチゴを使用。ジュースのように飲みやすいが、しっかり酔える。デザートワインに最適。
