間柄(日本語)	タイ語表記	カタカナ発音	補足・ニュアンス
父方の祖父	ปู่	プー（低声）	父の実父（พ่อของพ่อ）。タイ語では父方・母方の祖父母を包括する単一単語はなく完全分離。祖父世代の男性への敬称にも使用。
父方の祖母	ย่า	ヤー（下声）	父の実母（แม่ของพ่อ）。祖母世代の高齢女性への敬称にも使用。
母方の祖父	ตา	ター（平声）	母の実父（พ่อของแม่）。日常会話で親しみのある高齢男性への呼びかけ（親称・敬称）にも頻繁に使われる。
母方の祖母	ยาย	ヤーイ（平声）	母の実母（แม่ของแม่）。日常会話で親しみのある高齢女性への呼びかけ（親称・敬称）にも頻繁に使われる。
父母の兄（伯父）	ลุง	ルン（平声）	父または母の実兄（男女共通で親より年上）。街中や屋台の親世代の年配男性への親しみある敬称。
父母の姉（伯母）	ป้า	パー（下声）	父または母の実姉（男女共通で親より年上）。街中や市場の親世代の年配女性店主への親しみある敬称。
父の弟・妹（父方の叔父・叔母）	อา	アー（平声）	父の実弟・実妹（男女共通で父より年下）。性別を分ける場合はアー・プーチャーイ（叔父）/アー・プーイン（叔母）。
母の弟・妹（母方の叔父・叔母）	น้า	ナー（高声）	母の実弟・実妹（男女共通で母より年下）。親族呼称の中で最も親しみやすい響きを持つ。
父親	พ่อ	ポー（下声）	実父。父親代わりの年長者やキリスト教神父への敬称にも使用。
母親	แม่	メー（下声）	実母。母親代わりの年長者や寮母、市場の女性への親愛を込めた呼びかけにも使用。
兄・姉（年上の親族・先輩）	พี่ (พี่ชาย / พี่สาว)	ピー（ピー・チャーイ / ピー・サーオ）	年上の兄弟姉妹。タイ社会で最も頻繁に用いられる敬称・親称で、年上の同僚や先輩・店員への丁寧な呼びかけ。
弟・妹（年下の親族・後輩）	น้อง (น้องชาย / น้องสาว)	ノーン（ノーン・チャーイ / ノーン・サーオ）	年下の兄弟姉妹。年下の同僚や後輩、レストランやカフェの若い店員への友好的な呼びかけ。
