ID	銘柄名	タイ文字表記	タイ文字表記区分	名称の要点	ジャンル	酒類大分類	産地	主原料	度数(ABV・目安)	味わい	おすすめの飲み方	レア度	製造者・ブランド	確認状態	タイ語検索判定	推奨対応	精査メモ	出典URL	Google画像検索URL	公開用解説
1	Maa Jai Dum Flowery	หมาใจดำดอกไม้	タイ語資料で確認	花を示す「ดอกไม้」を冠したチェンマイの銘柄	地域蒸留酒	蒸留酒	チェンマイ					地域限定		確認済み	タイ語資料で商品名と地域を確認	掲載候補	旧版の説明は使わず、確認できた名称と地域だけを採用。	https://gooloochiangmai.com/?p=26841	https://www.google.com/search?tbm=isch&q=%E0%B8%AB%E0%B8%A1%E0%B8%B2%E0%B9%83%E0%B8%88%E0%B8%94%E0%B8%B3%E0%B8%94%E0%B8%AD%E0%B8%81%E0%B9%84%E0%B8%A1%E0%B9%89%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Maa Jai Dum Flowery（หมาใจดำดอกไม้）は、チェンマイに関連する地域蒸留酒。花を示す「ดอกไม้」を冠したチェンマイの銘柄。
2	Maa Jai Dum Lumka	หมาใจดำลำก้า	タイ語資料で確認	หมาใจดำブランドの透明タイプ	地域蒸留酒	蒸留酒	チェンマイ					地域限定		確認済み	タイ語資料で商品名と地域を確認	掲載候補	原料や味は資料間の確認が足りないため空欄。	https://gooloochiangmai.com/?p=26841	https://www.google.com/search?tbm=isch&q=%E0%B8%AB%E0%B8%A1%E0%B8%B2%E0%B9%83%E0%B8%88%E0%B8%94%E0%B8%B3%E0%B8%A5%E0%B8%B3%E0%B8%81%E0%B9%89%E0%B8%B2%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Maa Jai Dum Lumka（หมาใจดำลำก้า）は、チェンマイに関連する地域蒸留酒。หมาใจดำブランドの透明タイプ。
3	Manee Piti Chujai	มานี ปิติ ชูใจ	タイ語資料で確認	タイの教科書の登場人物を思わせる名称	米の醸造酒	醸造酒	サンカムペーン郡、チェンマイ	米				地域限定		確認済み	タイ語資料で地域の米酒として確認	掲載候補	一般語検索では教材情報が多いため、画像検索では「สุรา」を併記。	https://gooloochiangmai.com/?p=26811	https://www.google.com/search?tbm=isch&q=%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B8%B5%20%E0%B8%9B%E0%B8%B4%E0%B8%95%E0%B8%B4%20%E0%B8%8A%E0%B8%B9%E0%B9%83%E0%B8%88%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Manee Piti Chujai（มานี ปิติ ชูใจ）は、サンカムペーン郡、チェンマイに関連する米の醸造酒。タイの教科書の登場人物を思わせる名称。
4	PHAI Craft	ไผ่คราฟท์	ブランド自身のタイ語表記	チェンマイ発のクラフト白酒ブランド	クラフト白酒	蒸留酒	サンサーイ郡、チェンマイ	ジャスミンライス				地域限定	Chiang Mai PS 2554	確認済み	タイ語資料で産地・原料・製法を確認	掲載候補	2011年創業。薪火を用いる伝統的な蒸留法と熟成を掲げる。	https://cheewid.com/organization/nw6ig/phai-craft/about	https://www.google.com/search?tbm=isch&q=%E0%B9%84%E0%B8%9C%E0%B9%88%E0%B8%84%E0%B8%A3%E0%B8%B2%E0%B8%9F%E0%B8%97%E0%B9%8C%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	PHAI Craft（ไผ่คราฟท์）は、サンサーイ郡、チェンマイに関連するクラフト白酒。チェンマイ発のクラフト白酒ブランド。
5	Tang Ma Lai	ทางม้าลาย	タイ語資料で確認	「横断歩道／シマウマ模様」を意味する名称	クラフトスピリッツ	蒸留酒	チェンマイ	北部産ジャガイモ		ミントの香りをうたう		地域限定		確認済み	OTOPチェンマイ資料で商品を確認	掲載候補	透明な蒸留酒。資料にある原料・香り以上の説明は加えていない。	https://www.otopchiangmai.com/page/id/%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%89%E0%B8%B2-%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B9%89%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%A2-%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C-otop-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88	https://www.google.com/search?tbm=isch&q=%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B9%89%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%A2%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Tang Ma Lai（ทางม้าลาย）は、チェンマイに関連するクラフトスピリッツ。「横断歩道／シマウマ模様」を意味する名称。
6	Coyote Lumka Mixed Fruit	โคโยตี้ลำก้า รสผลไม้รวม	タイ語資料で確認	โคโยตี้ลำก้าのミックスフルーツ味	果実風味の地域蒸留酒	蒸留酒	チェンマイ	もち米、果実				地域限定		確認済み	OTOPチェンマイ資料で商品名を確認	掲載候補	OTOP掲載ページに表示される商品名を採用。	https://www.otopchiangmai.com/page/id/%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%89%E0%B8%B2-%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B9%89%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%A2-%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C-otop-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88	https://www.google.com/search?tbm=isch&q=%E0%B9%82%E0%B8%84%E0%B9%82%E0%B8%A2%E0%B8%95%E0%B8%B5%E0%B9%89%E0%B8%A5%E0%B8%B3%E0%B8%81%E0%B9%89%E0%B8%B2%20%E0%B8%A3%E0%B8%AA%E0%B8%9C%E0%B8%A5%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%A3%E0%B8%A7%E0%B8%A1%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Coyote Lumka Mixed Fruit（โคโยตี้ลำก้า รสผลไม้รวม）は、チェンマイに関連する果実風味の地域蒸留酒。โคโยตี้ลำก้าのミックスフルーツ味。
7	Coyote Lumka Strawberry	โคโยตี้ลำก้า รสสตรอว์เบอร์รี	タイ語資料で確認	โคโยตี้ลำก้าのイチゴ味	果実風味の地域蒸留酒	蒸留酒	チェンマイ	もち米、イチゴ				地域限定		確認済み	OTOPチェンマイ資料で商品名を確認	掲載候補	タイ語の表記ゆれを考慮し公式掲載名に寄せた。	https://www.otopchiangmai.com/page/id/%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%89%E0%B8%B2-%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B9%89%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%A2-%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C-otop-%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88	https://www.google.com/search?tbm=isch&q=%E0%B9%82%E0%B8%84%E0%B9%82%E0%B8%A2%E0%B8%95%E0%B8%B5%E0%B9%89%E0%B8%A5%E0%B8%B3%E0%B8%81%E0%B9%89%E0%B8%B2%20%E0%B8%A3%E0%B8%AA%E0%B8%AA%E0%B8%95%E0%B8%A3%E0%B8%AD%E0%B8%A7%E0%B9%8C%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A3%E0%B8%B5%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Coyote Lumka Strawberry（โคโยตี้ลำก้า รสสตรอว์เบอร์รี）は、チェンマイに関連する果実風味の地域蒸留酒。โคโยตี้ลำก้าのイチゴ味。
8	Langmaze	แลงมาเซ	行政資料で確認	チェンライ県メーラオ郡の地域酒	地域酒	蒸留酒	メーラオ郡、チェンライ					地域限定	วิสาหกิจชุมชนสุรากลั่นฐิตินันท์	確認済み	県OTOP資料で商品・事業者・所在地を確認	掲載候補	商品詳細は未確認のため、酒種・原料・度数を推測していない。	https://maefaluang.cdd.go.th/th/file/get/file/1802.20250826d8c971d6a646d1c1cb0a124942ecca9b004723.pdf	https://www.google.com/search?tbm=isch&q=%E0%B9%81%E0%B8%A5%E0%B8%87%E0%B8%A1%E0%B8%B2%E0%B9%80%E0%B8%8B%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Langmaze（แลงมาเซ）は、メーラオ郡、チェンライに関連する地域酒。チェンライ県メーラオ郡の地域酒。
9	Rebel Rebel White	เรเบล เรเบล ไวต์	検索補助音写（公式名は英字）	Sanpatong Distilleryの白ラム	ラム	蒸留酒	サンパトーン郡、チェンマイ	サトウキビジュース	40%			専門店・蒸留所	Sanpatong Distillery	確認済み	公式タイ語サイトで商品仕様を確認	掲載候補	チェンマイの蒸留所が現地製造する、無添加を掲げた商品。	https://sanpatong.com/th	https://www.google.com/search?tbm=isch&q=%E0%B9%80%E0%B8%A3%E0%B9%80%E0%B8%9A%E0%B8%A5%20%E0%B9%80%E0%B8%A3%E0%B9%80%E0%B8%9A%E0%B8%A5%20%E0%B9%84%E0%B8%A7%E0%B8%95%E0%B9%8C%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Rebel Rebel White（เรเบล เรเบล ไวต์）は、サンパトーン郡、チェンマイに関連するラム。Sanpatong Distilleryの白ラム。
10	Imagin Black	อิเมจิน แบล็ก	検索補助音写（公式名は英字）	Sanpatong Distilleryのジン	ジン	蒸留酒	サンパトーン郡、チェンマイ	ココナッツ花蜜	40%			専門店・蒸留所	Sanpatong Distillery	確認済み	公式タイ語サイトで商品仕様を確認	掲載候補	公式名が英字のため、タイ文字は画像検索用の音写。	https://sanpatong.com/th	https://www.google.com/search?tbm=isch&q=%E0%B8%AD%E0%B8%B4%E0%B9%80%E0%B8%A1%E0%B8%88%E0%B8%B4%E0%B8%99%20%E0%B9%81%E0%B8%9A%E0%B8%A5%E0%B9%87%E0%B8%81%20%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%B2	Imagin Black（อิเมจิน แบล็ก）は、サンパトーン郡、チェンマイに関連するジン。Sanpatong Distilleryのジン。
