ID	名称	画像ファイル	検索語	Commonsファイル名	出典ページ	作者	ライセンス	ライセンスURL	利用条件	画像区分
1	プーレー・パイナップル (Sapparot Phu Lae)	001.jpg	intitle:pineapple fruit	Pineapple victoria dsc07770.jpg	https://commons.wikimedia.org/wiki/File:Pineapple_victoria_dsc07770.jpg	David Monniaux	CC BY-SA 3.0	http://creativecommons.org/licenses/by-sa/3.0/	Creative Commons Attribution-Share Alike 3.0	検索語に基づく参考写真
2	ナーンレー・パイナップル (Sapparot Nang Lae)	002.jpg	intitle:pineapple Thailand	Pineapple farm in Thailand.JPG	https://commons.wikimedia.org/wiki/File:Pineapple_farm_in_Thailand.JPG	Gunnery Sgt. Jose A. Garcia, US Marine Corps	Public domain		Public domain	検索語に基づく参考写真
3	ドイトゥン・マカダミアナッツ	003.jpg	intitle:macadamia nuts	Macadamia nuts on tree.JPG	https://commons.wikimedia.org/wiki/File:Macadamia_nuts_on_tree.JPG	MorePix	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	検索語に基づく参考写真
4	ライチ (パン・ホンアイ種)	004.jpg	File:ARS Litchi chinensis.jpg	ARS Litchi chinensis.jpg	https://commons.wikimedia.org/wiki/File:ARS_Litchi_chinensis.jpg	Peggy Greb, USDA ARS	Public domain		Public domain	対象を個別確認した写真
5	アボカド (北タイ種)	005.jpg	intitle:avocado fruit	A plate of health food. Steamed pumpkin, avocado, posho, and greens.jpg	https://commons.wikimedia.org/wiki/File:A_plate_of_health_food._Steamed_pumpkin,_avocado,_posho,_and_greens.jpg	Shafiq Kayondo	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Creative Commons Attribution-Share Alike 4.0	検索語に基づく参考写真
6	マクウェン (Makwaen)	006.jpg	intitle:Zanthoxylum spice	花椒 Zanthoxylum.jpg	https://commons.wikimedia.org/wiki/File:%E8%8A%B1%E6%A4%92_Zanthoxylum.jpg	Chameleon (talk · contribs)	Public domain		Public domain	検索語に基づく参考写真
7	ドーク・ギウ (Dok Ngiw)	007.jpg	intitle:Bombax ceiba flower	Bombax ceiba Flower in Lantau island, Hong Kong.JPG	https://commons.wikimedia.org/wiki/File:Bombax_ceiba_Flower_in_Lantau_island,_Hong_Kong.JPG	Earth100	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	検索語に基づく参考写真
8	ヘット・トープ (Puffball Mushroom)	008.jpg	intitle:puffball mushroom	Lycoperdon utriforme, Mosaic Puffball 2010 G1.jpg	https://commons.wikimedia.org/wiki/File:Lycoperdon_utriforme,_Mosaic_Puffball_2010_G1.jpg	George Chernilevsky	Public domain		Public domain	検索語に基づく参考写真
9	ゲーン・ハンレー (Kaeng Hang Le)	009.jpg	File:แกงฮังเล ที่ หลู้ลำ.jpg	แกงฮังเล ที่ หลู้ลำ.jpg	https://commons.wikimedia.org/wiki/File:%E0%B9%81%E0%B8%81%E0%B8%87%E0%B8%AE%E0%B8%B1%E0%B8%87%E0%B9%80%E0%B8%A5_%E0%B8%97%E0%B8%B5%E0%B9%88_%E0%B8%AB%E0%B8%A5%E0%B8%B9%E0%B9%89%E0%B8%A5%E0%B8%B3.jpg	Chainwit.	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Creative Commons Attribution-Share Alike 4.0	対象を個別確認した写真
10	カオ・ラム・フン (Khao Ram Fuen)	010.jpg	intitle:chickpea tofu	Fried Chickpea Tofu.jpg	https://commons.wikimedia.org/wiki/File:Fried_Chickpea_Tofu.jpg	Theinga Ye Thway	CC0	http://creativecommons.org/publicdomain/zero/1.0/deed.en	Creative Commons Zero, Public Domain Dedication	検索語に基づく参考写真
11	カオ・ガン・ジン (Khao Kan Jin)	011.jpg	intitle:Khao kan chin	2013 Khao kan chin.jpg	https://commons.wikimedia.org/wiki/File:2013_Khao_kan_chin.jpg	Takeaway	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	検索語に基づく参考写真
12	チン・ソム (Chin Som / Naem)	012.jpg	File:Chin som mok.JPG	Chin som mok.JPG	https://commons.wikimedia.org/wiki/File:Chin_som_mok.JPG	Takeaway	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	対象を個別確認した写真
13	サイウア (Sai Ua)	013.jpg	File:Sai ua.JPG	Sai ua.JPG	https://commons.wikimedia.org/wiki/File:Sai_ua.JPG	Takeaway	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	対象を個別確認した写真
14	ナムプリック・ヌム (Nam Phrik Num)	014.jpg	intitle:Nam phrik num	Nam phrik num.jpg	https://commons.wikimedia.org/wiki/File:Nam_phrik_num.jpg	Takeaway	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	検索語に基づく参考写真
15	ナムプリック・オン (Nam Phrik Ong)	015.jpg	intitle:Nam phrik ong	Nam phrik ong.jpg	https://commons.wikimedia.org/wiki/File:Nam_phrik_ong.jpg	Takeaway	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0	Creative Commons Attribution-Share Alike 3.0	検索語に基づく参考写真
16	ケープ・ムー (Khaep Mu)	016.jpg	File:Khaep mu.jpg	Khaep mu.jpg	https://commons.wikimedia.org/wiki/File:Khaep_mu.jpg	Takeaway	CC BY-SA 3.0	https://creativecommons.org/licenses/by-sa/3.0/	Attribution-ShareAlike	ケープ・ムー（豚皮の揚げ物）の個別写真
17	パック・チェンダー (Phak Chiangda)	017.jpg	File:Gymnema inodorum Blanco2.402.jpg	Gymnema inodorum Blanco2.402.jpg	https://commons.wikimedia.org/wiki/File:Gymnema_inodorum_Blanco2.402.jpg	Francisco Manuel Blanco (O.S.A.)	Public domain		Public domain	対象を個別確認した写真
18	カオ・ソーイ・ノイ (Khao Soi Noi)	018.jpg	intitle:Shan noodle	Shan noodle with bean gravy sold on Mae Salong.jpg	https://commons.wikimedia.org/wiki/File:Shan_noodle_with_bean_gravy_sold_on_Mae_Salong.jpg	(WT-en) Kokwei at English Wikivoyage	Public domain		Public domain	検索語に基づく参考写真
19	ウーロン茶 No.12 (Jin Xuan)	019.jpg	intitle:Jin Xuan tea	Jin Xuan oolong tea.jpg	https://commons.wikimedia.org/wiki/File:Jin_Xuan_oolong_tea.jpg	Difference engine	CC BY-SA 4.0	https://creativecommons.org/licenses/by-sa/4.0	Creative Commons Attribution-Share Alike 4.0	検索語に基づく参考写真
20	ウーロン茶 No.17 (Ruan Zhi)	020.jpg	intitle:oolong tea	Oolong tea leaf.jpg	https://commons.wikimedia.org/wiki/File:Oolong_tea_leaf.jpg	Suguri F（すぐり）	CC BY-SA 3.0	http://creativecommons.org/licenses/by-sa/3.0/	Creative Commons Attribution-Share Alike 3.0	検索語に基づく参考写真
