ID	名称（日本語）	名称（英語）	名称（タイ語）	分類	信仰・物語の系統	見分け方	意味・役割	見られる場所	理解上の注意	タイ語画像検索URL	主要参考URL	文化資料URL	確認状態
001	釈迦牟尼仏	Gautama Buddha	พระพุทธเจ้า	仏教世界	仏教	螺髪、肉髻、僧衣、手印を備えた人間形の仏像。	悟りを開き教えを説いた歴史上の仏陀。	寺院の本尊、仏塔、壁画	姿勢や手印によって表す物語が変わる。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
002	弥勒菩薩	Maitreya	พระศรีอริยเมตไตรย	仏教世界	仏教	冠を着けた菩薩形、または将来仏として表される。	未来に現れて悟りを開くとされる仏。	寺院壁画、未来仏信仰の堂	布袋形の中国系弥勒像と区別する。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%AD%E0%B8%A3%E0%B8%B4%E0%B8%A2%E0%B9%80%E0%B8%A1%E0%B8%95%E0%B9%84%E0%B8%95%E0%B8%A3%E0%B8%A2%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
003	プラ・ウパクット	Phra Upakut	พระอุปคุต	仏教世界	上座部仏教・地域信仰	僧形で鉢を持つ像、水中・貝殻と結びつく表現もある。	悪魔や災厄を抑え祭礼を守護する阿羅漢として信仰される。	北部・東北部の寺院、祭礼	正典上の位置づけと地域伝承を分けて理解する。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%84%E0%B8%B8%E0%B8%95%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
004	プラ・サンカッチャーイ	Phra Sangkachai	พระสังกัจจายน์	仏教世界	仏教・民間信仰	丸い腹を見せて坐る僧形。	説法に優れた弟子として、豊かさや円満とも結びつく。	寺院の副祀像	中国の布袋・弥勒像と外見が似る。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AA%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B8%B1%E0%B8%88%E0%B8%88%E0%B8%B2%E0%B8%A2%E0%B8%99%E0%B9%8C%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
005	プラ・シーワリー	Phra Sivali	พระสีวลี	仏教世界	仏教	旅装の僧が傘、杖、鉢を持つ姿。	供養を受ける福徳に優れ、旅と商いの安全をもたらすとされる。	寺院、店舗、家庭祭壇	護符的信仰は地域や個人で解釈が異なる。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AA%E0%B8%B5%E0%B8%A7%E0%B8%A5%E0%B8%B5%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
006	メー・トラニー	Mae Thorani	พระแม่ธรณี	仏教世界	仏教説話・大地信仰	女性が長い髪を絞り水を流す。	降魔成道の際、仏陀の功徳を証明した大地の女神。	寺院壁画、噴水、公共標章	単なる水の女神ではなく成道説話との関係が重要。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%98%E0%B8%A3%E0%B8%93%E0%B8%B5%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
007	プラ・ラーフー	Rahu	พระราหู	仏教世界	インド天文学・タイ信仰	巨大な顔や上半身が太陽・月を口にする。	日月食の説明神話と、厄除け・運勢転換の信仰対象。	寺院、占星術祭壇	天文学的現象と信仰上の説明を区別する。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%A3%E0%B8%B2%E0%B8%AB%E0%B8%B9%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
008	ターオ・ウェースワン	Vessavana	ท้าวเวสสุวรรณ	仏教世界	仏教宇宙論	冠を着け棍棒を持つ夜叉王。	四天王の北方守護者で、悪霊除けと財宝の守護を担う。	寺院門、独立祭壇、護符	クベーラとの関係は同一視・変容を含む。	https://www.google.com/search?tbm=isch&q=%E0%B8%97%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%A7%E0%B8%AA%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
009	プラ・イン	Indra	พระอินทร์	仏教世界	仏教宇宙論・インド神話	緑色の肌、冠、金剛杵、多頭象エラワン。	忉利天の王として仏陀を助け、王権と雨にも関わる。	寺院壁画、破風、神話彫刻	ヒンドゥーのインドラがタイ仏教世界へ取り込まれている。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%AD%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%A3%E0%B9%8C%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
010	プラ・プロム	Brahma	พระพรหม	仏教世界	バラモン・仏教習合	四つの顔と複数の腕を持つ。	四方を見渡す創造神として、慈・悲・喜・捨とも関連づけられる。	エラワン祠、寺院、建物祭壇	仏教宇宙論の梵天とヒンドゥー創造神の説明が重なる。	https://www.google.com/search?tbm=isch&q=%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%A3%E0%B8%AB%E0%B8%A1%20%E0%B8%A8%E0%B8%B4%E0%B8%A5%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B9%84%E0%B8%97%E0%B8%A2	https://www.finearts.go.th/it/view/38032	https://db.sac.or.th/thailand-cultural-encyclopedia/	初版確認済み・地域差に注意
