料理名	タイ語	単語分解の意味	辛さレベル	調整フレーズ
カオマンガイ（蒸し鶏載せ炊き込みご飯）	ข้าวมันไก่	カオ（米・ご飯）＋マン（鶏油・脂）＋ガイ（鶏肉）＝鶏出汁と脂で炊いたご飯に茹で鶏を載せた料理	1	ナムチム・イェーク（น้ำจิ้มแยก＝タレ別添えで）/ マイ・アオ・ナン（ไม่เอาหนัง＝鶏皮抜きで）
トムカーガイ（鶏肉とガランガルのココナッツミルクスープ）	ต้มข่าไก่	トム（煮る・スープ）＋カー（ガランガル・南姜）＋ガイ（鶏肉）＝南姜とココナッツミルクのまろやかスープ	1	マイ・サイ・プリック（ไม่ใส่พริก＝唐辛子抜きで）/ ペッ・ノーイ（เผ็ดน้อย＝辛さ控えめで）
パッタイ・クン（海老入りタイ風炒め麺）	ผัดไทยกุ้ง	パット（炒める）＋タイ（タイ国・自由）＋クン（海老）＝タマリンドとパームシュガーで甘酸っぱく炒めた名物麺	2	マイ・サイ・プリックポン（ไม่ใส่พริกป่น＝粉唐辛子抜きで）/ マイ・サイ・トゥア（ไม่ใส่ถั่ว＝ピーナッツ抜きで）
ゲーン・キョウ・ワーン・ガイ（鶏肉のグリーンカレー）	แกงเขียวหวานไก่	ゲーン（汁物・カレー）＋キョウ（緑）＋ワーン（甘い・淡い黄緑色）＋ガイ（鶏肉）＝青唐辛子ペーストの緑色カレー	3	ペッ・ノーイ（เผ็ดน้อย＝辛さ控えめで）/ マイ・ペッ（ไม่เผ็ด＝辛くしないで）/ コー・ペッ・ペッ（ขอเผ็ดๆ＝辛めで）
ヤム・ウンセン（春雨のスパイシーサラダ）	ยำวุ้นเส้น	ヤム（酸辛和え物）＋ウンセン（緑豆春雨）＝春雨と豚ひき肉・海老をライムとナンプラー・唐辛子で和えた温サラダ	3	プリック・ヌン・メッ（พริกหนึ่งเม็ด＝唐辛子1本だけで）/ マイ・サイ・クンヘーン（ไม่ใส่กุ้งแห้ง＝干し海老抜きで）
パッ・ガパオ・ムー・サップ（豚ひき肉のホーリーバジル炒め）	ผัดกะเพราหมูสับ	パット（炒める）＋ガパオ（ホーリーバジル）＋ムー（豚肉）＋サップ（刻む・ひき肉）＝豚ひき肉のバジル強火炒め	4	プリック・メッ・ディアオ（พริกเม็ดเดียว＝唐辛子1本で）/ マイ・ペッ（ไม่เผ็ด＝辛さゼロで）/ カイダーオ・マイ・スック（ไข่ดาวไม่สุก＝半熟目玉焼き追加）
トムヤムクン（海老の酸辛ハーブスープ）	ต้มยำกุ้ง	トム（煮る）＋ヤム（酸味と辛味の調味）＋クン（海老）＝レモングラスやライム・唐辛子香るタイ代表酸辛スープ	4	ナムサイ（น้ำใส＝澄んだ透明スープで）/ ペッ・クラーン（เผ็ดกลาง＝中辛で）/ マイ・サイ・パクチー（ไม่ใส่ผักชี＝パクチー抜きで）
ソムタム・タイ（青パパイヤのタイ風サラダ）	ส้มตำไทย	ソム（酸っぱい）＋タム（叩く・突く）＋タイ（中部タイ風・干し海老ピーナッツ）＝青パパイヤを叩き和えた名物サラダ	4	プリック・ソン・メッ（พริกสองเม็ด＝唐辛子2本で）/ マイ・ワーン（ไม่หวาน＝甘さ控えめで）/ マイ・サイ・プラーラー（ไม่ใส่ปลาร้า＝発酵魚汁抜きで）
クアクリン・ムー（豚肉の激辛ハーブドライカレー炒め）	คั่วกลิ้งหมู	クア（乾煎りする）＋クリン（転がす・パラパラに炒りつける）＋ムー（豚肉）＝南タイ特有のウコンと生唐辛子香るドライカレー	5	ロット・ペッ・ノーイ（รสเผ็ดน้อย＝辛さをかなり落として）/ ペッ・ニッディアオ（เผ็ดนิดเดียว＝ほんの少しだけ辛く）
ゲーン・タイプラー（魚の内臓の激辛発酵カレー）	แกงไตปลา	ゲーン（カレー）＋タイ（魚の内臓・胃袋の塩漬け出汁）＋プラー（魚）＝南タイ伝統の発酵魚出汁ベース激辛野菜魚カレー	5	ペッ・ノーイ・ティー・スット（เผ็ดน้อยที่สุด＝可能な限り辛さ控えめで）/ プーム・パックソット（เพิ่มผักสด＝添え野菜多めで）
