ID	銘柄名	ジャンル	産地	主原料	度数(ABV)	味わい	レア度	解説・ストーリー
1	Hma Jai Dam (黒犬 / Flowery)	Lao Khao(焼酎)	チェンマイ	ココナッツ花蜜/米	0.4	甘口(Sweet)	コンビニ/スーパー	北タイ土産の定番。「心の黒い犬」というユニークな名前の蒸留酒。ココナッツや花の蜜を原料にしており、ラム酒のような甘い香りと飲みやすさがある。ロックがおすすめ。
2	Hma Jai Dam (Lum / Clear)	Lao Khao(焼酎)	チェンマイ	米/ジャガイモ	0.4	辛口(Dry)	スーパー	「黒犬」の透明バージョン。こちらはジャガイモや米をベースにしたウォッカに近い味わい。カクテルベースとして優秀で、悪酔いしにくいと評判。
3	Sura Tap (Tap 35)	Lao Khao(焼酎)	プレー(Phrae)	もち米/糖蜜	0.35	強烈	コンビニ(北タイ限定)	「酒の都」プレー県を象徴する伝説の銘柄。安価だが、他のラオカオに比べて喉越しがスムーズ。北タイの冠婚葬祭や宴会には欠かせない「ソウルリカー」。
4	K5 (Premium Spirit)	Lao Khao(焼酎)	プレー(Phrae)	米	35-40%	フルーティー	リカーショップ	プレー県の酒造技術を結集して作られたプレミアム・ラオカオ。従来の「安酒」のイメージを覆す、吟醸酒のようなフルーティーな香りが特徴。パッケージも高級感がある。
5	Grandma Jinn (グランマ・ジン)	Craft Gin	チェンマイ	ジュニパー/北タイハーブ	0.4	スパイシー	バー/専門店	チェンマイの有名バー発のクラフトジン。地元の市場で手に入る生姜やレモングラスなど、北タイならではのボタニカルを贅沢に使用。複雑でスパイシーな香りが爆発する。
6	Gemini (ジェミニ)	Craft Gin	チェンマイ	ジュニパー/茶葉	0.4	フローラル	バー/専門店	チェンマイ産のお茶や花を使用したクラフトジン。香水のように華やかで繊細な味わい。トニックウォーターで割ると香りがさらに広がる。ボトルデザインも美しい。
7	Kristall Rum (クリスタル・ラム)	Rum	チェンマイ	サトウキビ	0.4	甘口(Sweet)	スーパー/専門店	チェンマイのサンパトーン郡にある蒸留所で作られるラム。北タイ産の良質なサトウキビを使用し、フランスのアグリコール製法に近い形で作られるため、原料の甘みが強い。
8	Lao Wiang (ラオ・ウィアン)	Lao Khao(焼酎)	チェンライ(ウィアンパパオ)	もち米	0.4	辛口(Dry)	村の売店	ウィアンパパオ郡で作られる地酒。伝統的な壺仕込みの技術が残っており、地元民に愛されている。かなり度数が強いが、米の旨味がしっかりある。
9	Origin Gin (オリジン)	Craft Gin	チェンマイ	ボタニカル	0.4	スッキリ	バー/通販	チェンマイの若手蒸留家による少量生産ジン。シトラス系のボタニカルを多用しており、ソーダ割りで飲むとタイの暑さを吹き飛ばすほど爽快。
10	Doi Kham Strawberry Wine	Fruit Wine	チェンマイ(芳)	イチゴ	10-12%	甘口(Sweet)	スーパー	王室プロジェクト「ドイカム」のロングセラー。チェンマイのファン（Fang）郡で採れたイチゴを使用。ジュースのように飲みやすいが、しっかり酔える。デザートワインに最適。
11	Doi Kham Lychee Wine	Fruit Wine	チェンマイ/チェンライ	ライチ	10-12%	フルーティー	スーパー	同じくドイカム製。北タイ特産のライチ（ホンアイ種など）を使用。ライチ特有の芳醇な香りがそのまま閉じ込められており、女性人気No.1。
12	Bennchcha (ベンチャー)	Umeshu	チェンマイ	梅(Japanese Apricot)	0.14	濃厚	専門店/日系居酒屋	チェンライ・チェンマイの高地で栽培された梅を使った本格梅酒。日本の醸造家が技術指導しており、チョーヤにも負けない濃厚で酸味の効いた味が楽しめる。
13	Siam Sato (Siam Winery)	Sato(米酒)	北タイ全域(工場はラムパン)	もち米	0.08	微発泡/甘口	コンビニ	タイの「SPY」などを製造するサイアムワイナリーが手がける、最もメジャーなサトー。微発泡で甘く、マッコリやシードルに近い。コンビニで数十バーツで買える手軽さが魅力。
14	Rung Tawan (ルンタワン)	Lao Khao(焼酎)	プレー(Phrae)	糖蜜/米	30-35%	強烈	コンビニ(北タイ限定)	「朝日」を意味するプレー県の地酒。Sura Tapと並ぶ二大巨頭。労働者の疲れを癒やす酒として親しまれている。ハーブ酒（ヤードン）のベースに使われることが多い。
15	Mae Khong (メコン)	Spirit	北タイ(原料)	糖蜜/米	0.35	スパイシー	コンビニ/スーパー	タイ初の国産スピリッツ。工場はバンコク近郊だが、原料の米やハーブは北タイとの関わりが深い。バニラやハーブの香りが添加された、ウイスキー風の蒸留酒。
16	Phraya Rum (プラヤ)	Rum	ナコンパトム(熟成)	サトウキビ	0.4	樽香/高級	免税店/デパート	厳密には北タイ蒸留ではないが、北部のサトウキビを使用し、世界最高賞を受賞したタイの最高級ラム。深く焦がした樽で熟成され、コニャックのような深みがある。
