ID	ブランド名	産地(山)	主要プロセス	焙煎度	入手難易度	価格帯	フレーバー・特徴	解説・ストーリー	公式サイト/入手先
1	Doi Chaang Coffee (Original)	ドイチャン	Washed	全対応	スーパー/コンビニ	฿฿	#世界的ブランド, #バランス, #ナッツ	タイコーヒーを世界に知らしめたパイオニア。品質が極めて安定しており、蜂蜜のような甘みと適度な酸味が特徴。空港やスーパーで最も買いやすい。	doichaangcoffee.com
2	Doi Tung Coffee	ドイトゥン	Washed	中〜深	スーパー/空港	฿฿	#王室プロジェクト, #マカダミア, #クラシック	故・皇太后によるアヘン撲滅プロジェクトから生まれたブランド。ナッツの香ばしさとキャラメルのような甘みがあり、誰にでも飲みやすい。お土産の定番。	doitung.com
3	Pha Hee Coffee (Community)	メーサイ(Pha Hee)	Washed/Honey	中〜深	現地/通販	฿	#村の組合, #チョコ感, #ボディ強め	メーサイの「パーヒー村」の共同組合ブランド。コクがあり、ダークチョコレートのような風味。村へ行くと、どのカフェでもこれが飲めることが多い。	Facebook: Phahee Coffee
4	Busaw Hom Coffee (Phami)	メーサイ(Pha Mi)	Washed	中煎り	現地/通販	฿฿	#アカ族, #花のような香り, #パーミー	メーサイの「パーミー村」にある有名店。店主のBusawさんが作るコーヒーは、パーミー産特有の華やかな香りとスッキリした後味が特徴。	Facebook: Busaw Hom
5	Doi Pha Mee Coffee	メーサイ(Pha Mi)	Washed	中〜深	現地	฿	#国境の味, #しっかりした苦味, #お土産	パーミー村の入り口などで売られているローカルブランド。酸味が少なく、タイの練乳入りコーヒー（エス・イェン）にしても負けない強さがある。	現地ショップ
6	Phuphahee Coffee	メーサイ(Pha Hee)	Honey/Dry	全対応	現地/通販	฿฿	#絶景カフェ, #フルーティー, #ハニープロセス	パーヒー村の絶景カフェ「Phuphahee」の自社ブランド。ハニープロセスに力を入れており、従来のパーヒー産より果実感がある。	Facebook: Phuphahee
7	Akha Ama Coffee	メースワイ	Washed/Natural	浅〜中	店舗(市内/CM)	฿฿฿	#スペシャルティ, #日本進出, #サステナブル	チェンマイで有名だが、農園はチェンライのメースワイ郡にある。Lee Ayu氏が率いる世界レベルのブランド。フルーティーでクリーンな「ポンラマイ」ブレンドが有名。	akhaama.com
8	Abonzo Coffee	ドイチャン	Washed/Honey	浅〜中	店舗(ドイチャン)	฿฿	#若手農家, #スタイリッシュ, #甘み	ドイチャンの新世代を代表するブランド。カフェも非常にモダン。豆は甘みが強く、特に「Jelly Honey」プロセスはゼリーのようなぷるっとした質感がある。	abonzocoffee.com
9	Doi Pangkhon (Srn)	ドイパンコン	Natural/Dry	浅煎り	通販/イベント	฿฿	#ベリー系, #野性味, #パンコン代表	ドイパンコンエリアの豆は、ブルーベリーやストロベリーのような強い果実味が特徴。ナチュラルプロセス（天日干し）が得意な産地。	Facebook: Doi Pangkhon
10	Yod Doi Coffee	ドイチャン	Washed	中〜深	スーパー/Otop	฿	#老舗, #コスパ良, #深いコク	「山の頂」を意味する老舗ブランド。ドイチャン産の中では比較的安価で、スーパーやOtopショップで手に入りやすい。苦味が好きな人向け。	yoddoicoffee.com
