ID	名称	ジャンル	主な産地	レア度	入手難易度	旬・時期	タグ	解説・ストーリー
1	プーレー・パイナップル (Sapparot Phu Lae)	農産物(Agri)	ナーンレー/ムアン	★3	市場/道端	通年(4-6月が最盛)	#GI認証, #サクサク, #甘味が強い	チェンライ原産の「拳サイズ」の小ぶりなパイナップル。芯までサクサク食べられ、蜂蜜のような香りと強い甘みが特徴。お土産として皮を剥いた袋詰めが至る所で売られている。
2	ナーンレー・パイナップル (Sapparot Nang Lae)	農産物(Agri)	ナーンレー	★4	市場/農園	通年(5-6月が最盛)	#GI認証, #ジューシー, #蜜入り	プーレーより大きく丸い、元祖チェンライ産パイナップル。果肉は黄色く、蜜がたっぷりで繊維質が少ない。プーレーに押され生産量が減っており、本物は少しレア。
3	ドイトゥン・マカダミアナッツ	農産物(Agri)	ドイトゥン	★3	スーパー/コンビニ	通年	#ロイヤルプロジェクト, #高級ナッツ	王室プロジェクトによりアヘン栽培の代替として普及。小粒だが油脂分が豊富で濃厚な味わい。「ロースト」「ワサビ味」など加工品はお土産の鉄板。
4	ライチ (パン・ホンアイ種)	農産物(Agri)	パーン/メーチャイ	★4	市場/道端	4月〜5月	#季節限定, #瑞々しい, #甘酸っぱい	チェンライ南部はライチの名産地。ホンアイ種は皮が薄く、果汁が溢れるほどジューシーで甘酸っぱい。収穫期が短く、市場に出回ると雨季の訪れを感じさせる。
5	アボカド (北タイ種)	農産物(Agri)	山間部全域	★3	市場/道端	7月〜11月	#スーパーフード, #安価, #ねっとり	様々な品種（バッカニア、ピーターソン等）が山間部で栽培されている。輸入物に比べサイズが大きく、市場ではキロ単位で驚くほど安く売られている。味は濃厚でクリーミー。
6	マクウェン (Makwaen)	食材(Food)	山間部	★5	市場/専門店	冬	#スパイス, #麻辣, #香辛料	北タイ料理（特にラープ）に欠かせない、山椒の一種。「シトラスのような爽やかな香り」と「舌が痺れる辛さ」が特徴。乾燥実は保存がきくため、料理好きへのお土産に最適。
7	ドーク・ギウ (Dok Ngiw)	食材(Food)	全域	★4	市場	2月(乾燥は通年)	#ナムニャオ必須, #乾物, #滋養	「キワタ（木綿）」の花の雄しべを乾燥させたもの。カノムチン・ナムニャオには絶対に入っている。独特の食感と風味があり、カルシウムなど栄養価も高い。
8	ヘット・トープ (Puffball Mushroom)	食材(Food)	山林	★5	市場	5月〜6月(雨季初頭)	#季節限定, #高級食材, #パチパチ食感	雨季の始まりにしか採れない球状のキノコ。噛むと「パチッ」と弾け、中のスープが出る食感が唯一無二。価格が高騰しやすく、市場に出ると地元民が殺到する。
9	ゲーン・ハンレー (Kaeng Hang Le)	料理(Dish)	全域	★3	食堂/レストラン	通年	#カレー, #ミャンマー由来, #甘辛	生姜とタマリンドが効いた、豚バラ肉の煮込みカレー。ココナッツミルクを使わず、脂っこいが酸味がありご飯が進む。ミャンマー国境に近いチェンライでは特に本格的な味が楽しめる。
10	カオ・ラム・フン (Khao Ram Fuen)	料理(Dish)	ムアン/メーサイ	★4	専門店	通年	#タイヤイ料理, #豆腐麺, #スパイシー	米やひよこ豆から作った豆腐のような固まりを麺状に切り、酸っぱ辛いスープやタレで食べる料理。元はシャン族・雲南系の料理だが、チェンライ市内でも専門店があるソウルフード。
