日本語	タイ語表記	発音(カタカナ)	使用場面
これをください（指差し注文）	อันนี้ครับ/ค่ะ (เอาอันนี้)	アンニー・クラップ/カー (アオ・アンニー)	メニュー写真や店頭ショーケースのおかずを指差して注文する時。
ここで食べます（店内飲食）	ทานที่นี่ครับ/ค่ะ (กินที่นี่)	ターン・ティーニー・クラップ/カー	注文時や店員から「店内で食べるか持ち帰りか」を聞かれた時。
持ち帰りでお願いします（テイクアウト）	ใส่ถุงกลับบ้านครับ/ค่ะ (กลับบ้าน)	サイ・トゥン・グラップバーン・クラップ/カー	屋台や食堂で料理を袋詰めして持ち帰りたい時。
お会計をお願いします	เช็คบิลด้วยครับ/ค่ะ / เก็บเงินด้วยครับ/ค่ะ	チェックビン・ドゥアイ / ゲップ・グン・ドゥアイ	食事が終わり席で支払いを申し出る時（人差し指で円を描くジェスチャー併用可）。
辛くしないでください / 辛さ控えめで	ไม่เผ็ดครับ/ค่ะ / เผ็ดน้อยครับ/ค่ะ	マイ・ペッ・クラップ/カー / ペッ・ノーイ・クラップ/カー	ソムタムやガパオ、炒め物等を注文する際に辛さレベルを指定する時。
パクチーを入れないでください	ไม่ใส่ผักชีครับ/ค่ะ	マイ・サイ・パックチー・クラップ/カー	麺類やスープ類などを注文する際、香菜が苦手な場合。
おすすめは何ですか？	มีอะไรแนะนำครับ/ค่ะ (อะไรอร่อย)	ミー・アライ・ネナム・クラップ/カー	看板メニューや名物料理、美味しいおすすめを店員に尋ねる時。
水を1本ください（ボトル水）	ขอน้ำเปล่าหนึ่งขวดครับ/ค่ะ	コー・ナムプラーオ・ヌン・クアット・クラップ/カー	飲み物としてミネラルウォーター（ペットボトル）を注文する時。
スプーンとフォークをください	ขอช้อนส้อมด้วยครับ/ค่ะ	コー・チョーン・ソーム・ドゥアイ・クラップ/カー	卓上に食器がない時や取り分け用カトラリーが欲しい時（箸はコー・タキアップ）。
いくらですか？	เท่าไหร่ครับ/ค่ะ (กี่บาท)	タオライ・クラップ/カー (ギー・バーツ)	値段表記がない屋台や市場で金額を確認・計算する時。
とても美味しかったです！	อร่อยมากครับ/ค่ะ	アローイ・マーク・クラップ/カー	食事中や食後、店を出る際に笑顔で感謝と満足を伝える時。
トイレはどこですか？	ห้องน้ำอยู่ที่ไหนครับ/ค่ะ	ホンナーム・ユー・ティーナイ・クラップ/カー	食堂やナイトマーケットでトイレの場所を探している時。
