寺院名	所在地(県)	タイ語名	建立年代	見どころ・特徴
ワット・プラチェートゥポン（ワット・ポー）	バンコク	วัดพระเชตุพนวิมลมังคลาราม ราชวรมหาวิหาร	アユタヤ期 / ラーマ1世再建	ラーマ1世の王室菩提寺。全長46mの黄金涅槃仏（足裏螺鈿細工）、タイ古式マッサージ総本山、ユネスコ世界の記憶登録の医学石碑群、4国王の巨大仏塔。
ワット・マハータートユワラートランサリット	バンコク	วัดมหาธาตุยุวราชรังสฤษฎิ์ ราชวรมหาวิหาร	アユタヤ期 / ラーマ1世・5世	王宮前広場隣。タイ仏教最高学府マハーチュラーロンコーン大学本部、ヴィパッサナー瞑想教育の中心寺院、歴代副王（前宮）一族の菩提寺。
ワット・スタットเทพวราราม	バンコク	วัดสุทัศนเทพวราราม ราชวรมหาวิหาร	ラーマ1世〜3世（1807-1847年）	ラーマ8世の王室菩提寺。大ブランコ前。スコータイ期のタイ最大古代青銅仏プラ・シーサッキャムニー、ラーマ2世自刻の透かし彫りチーク扉、壮麗な須弥山壁画。
ワット・アルン（暁の寺）	バンコク	วัดอรุณราชวราราม ราชวรมหาวิหาร	アユタヤ期 / ラーマ2世・3世	ラーマ2世の王室菩提寺。チャオプラヤー川畔に聳える高さ約67mの壮大なクメール様式大仏塔（プラーン）、中国陶器片モザイク装飾、夜間ライトアップの絶景。
ワット・プラパトムチェーディー	ナコンパトム県	วัดพระปฐมเจดีย์ ราชวรมหาวิหาร	古代〜ラーマ4世・6世完成	ラーマ6世の王室菩提寺。タイ最高・世界最大級の黄金色巨大釣鐘型ストゥーパ（高さ120.45m）、優美な立像プラ・ルアン・ローチャナリット、仏教初伝の聖地。
ワット・プラプッタバート	サラブリー県	วัดพระพุทธบาท ราชวรมหาวิหาร	アユタヤ期（1624年・ソーンタム王）	天然岩盤に刻まれた聖なる仏足跡を奉安。7重屋根の壮麗なモンドップ、ラーマ1世寄進のマザーオブパール（螺鈿）装飾扉と床、乾季のタイ最大級仏足跡大巡礼祭。
ワット・ボーウォンニウェート	バンコク	วัดบวรนิเวศวิหาร ราชวรวิหาร	1824年（ラーマ3世期）	ラーマ6世・9世（プーミポン前国王）の王室菩提寺。歴代国王（4・5・7・9・10世）が出家修行した最高格式出家寺院、タマユット派総本山、名仏プラ・プッタチンナシー。
ワット・ラーチャプラディット	バンコク	วัดราชประดิษฐสถิตมหาสีมาราม ราชวรวิหาร	1864年（ラーマ4世建立）	ラーマ4世の王室菩提寺。外壁全面が灰色大理石タイルで覆われたモンドップ型本堂、ラーマ4世自身による日食観測・天文計算や王室儀礼を描いた貴重な壁画。
ワット・ラーチャボピット	バンコク	วัดราชบพิธสถิตมหาสีมาราม ราชวรวิหาร	1869年（ラーマ5世建立）	ラーマ5世・7世の王室菩提寺、現第20代僧王駐錫寺院。外観は手描きベンジャロン陶器タイル、内装はベルサイユ宮殿風ゴシック・ロココ様式、王室墓地（Royal Cemetery）。
ワット・ベンチャマボピット（大理石寺院）	バンコク	วัดเบญจมบพิตรดุสิตวนาราม ราชวรวิหาร	1899年（ラーマ5世建立）	ラーマ5世の王室菩提寺。イタリア・カッラーラ産最高級白大理石造りの端正な本堂、名匠ナリス親王設計、回廊に並ぶタイ・アジア各地の傑作青銅仏コレクション52体。
ワット・ラーチャオロサーラーム	バンコク	วัดราชโอรสาราม ราชวรวิหาร	アユタヤ期 / ラーマ3世再建	ラーマ3世の王室菩提寺。タイ建築史上初の本格的中国風様式（シノワズリ）融合寺院（チョーファーを排し陶器レリーフを採用）、中国風石造彫刻と巨仏坐像。
ワット・ニウェートタンマプラワット	アユタヤ県	วัดนิเวศธรรมประวัติ ราชวรวิหาร	1878年（ラーマ5世建立）	バーンパイン宮殿対岸の中州。タイ唯一の完全西洋ネオ・ゴシック建築（キリスト教会風）仏教寺院、ステンドグラス、教会風祭壇の本尊仏、ロープウェイ渡河。
ワット・スワンダラーラーム	アユタヤ県	วัดสุวรรณดาราราม ราชวรวิหาร	アユタヤ末期（ラーマ1世実父建立）	チャクリー王家ルーツ・菩提寺。ジャンク船の船底のように湾曲した優美な床（ジャンク・カーブ）、ナレースワン大王の象上決戦を描いた壮大な歴史壁画。
ワット・セーナーサナーラーム	アユタヤ県	วัดเสนาสนาราม ราชวรวิหาร	アユタヤ期 / ラーマ4世改修	旧王宮チャンドラカセーム宮殿裏。古代ドヴァーラヴァティー王国期の貴重な緑色砂岩彫刻プラ・カンタラーラート（雨乞い仏）、ラーマ4世期の王室儀礼・天文壁画。
ワット・プラシーラッタナマハータート・チャリエン	スコータイ県	วัดพระศรีรัตนมหาธาตุ ราชวรวิหาร	スコータイ期以前（13世紀中心寺院化）	世界遺産シーサッチャナーライ歴史公園の最重要聖地。アユタヤ初期改修の壮大なクメール風プラーン（主塔）、スコータイ美術最高峰の優美な遊行仏レリーフ。
ワット・プラボロマタートチャイヤ	スラタニ県	วัดพระบรมธาตุไชยา ราชวรวิหาร	シュリーヴィジャヤ期（8〜10世紀）	南タイ仏教の原点。タイ国内で最も完全な形で現存するシュリーヴィジャヤ建築の最高傑作ストゥーパ、チャイヤ様式の古代青銅仏・石造仏群。
ワット・プラシーマハータート・バーンケン	バンコク	วัดพระศรีมหาธาตุ วรมหาวิหาร	1940年（立憲革命派建立）	立憲革命記念寺院。インドより贈呈された仏舎利とブッダガヤ聖菩提樹分枝を奉安する白亜の巨大円形ドーム型主仏塔、近代タイ史の指導者たちの遺灰安置所。
ワット・ヤーンナサンワラーラーム	チョンブリー県	วัดญาณสังวราราม วรมหาวิหาร	1976年（ラーマ9世庇護）	第19代ニャーナサンウォン前僧王に捧げられた寺院。ブッダガヤ大塔を模した仏塔や国際建築庭園、近隣のカオシーチャン巨大山壁レーザー大仏と一体の広大な霊場。
ワット・プラシン	チェンマイ県	วัดพระสิงห์ วรมหาวิหาร	1345年（ラーンナー朝パーユー王）	旧市街西端。ラーンナー建築の極致「ウィハーン・ラーイカム（金箔礼拝堂）」、至宝プラ・プッタシヒン（獅子仏）、北タイ伝統風俗を描いた古典壁画、辰年の守護仏塔。
ワット・プラタートパノム	ナコンパノム県	วัดพระธาตุพนม วรมหาวิหาร	古代シーコートラボーン期	イサーン・ラオス全土で最も尊崇されるメコン流域最大の聖地。仏陀の胸骨仏舎利を奉安する高さ53.6mの優美な白亜と黄金のラーンサーン様式聖塔、申年の守護仏塔。
ワット・プラマハータート（ナコンシータマラート）	ナコンシータマラート県	วัดพระมหาธาตุ วรมหาวิหาร	13世紀初頭（タムブラリンガ王国）	ユネスコ世界遺産暫定リスト。高さ約56mのセイロン様式大仏塔（頂部は純金、「地面に影が落ちない影なし仏塔」の伝説）、南タイ上座部仏教伝播の歴史的結節点。
ワット・プラシーラッタナマハータート（ワット・ヤイ）	ピッサヌローク県	วัดพระศรีรัตนมหาธาตุ วรมหาวิหาร	1357年（スコータイ朝リタイ王）	タイで最も美しい仏像と称賛される黄金の至宝「プラ・プッタチンナラート」、アユタヤ王寄進の螺鈿細工本堂扉、中央に聳えるクメール風プラーン（主仏塔）。
ワット・プラタートハリプンチャイ	ランプーン県	วัดพระธาตุหริภุญไชย วรมหาวิหาร	9〜11世紀（ハリプンチャイ王国）	高さ46mの黄金色ラーンナー様式主仏塔（酉年の守護仏塔）、古代ドヴァーラヴァティー様式の段塔スワンナチェーディー、世界最大級の青銅製大銅鑼。
